[Header]	
System	Suspended Solids Saline	
S/W Version	1.00	
User		
Date/Time	10/14/2025 10:25:30 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Excluded	Inj. Vol.	
Unknown	NPOC	9GW2_10102025	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2025_10_08_16_42_49.cal	1.00		10/13/2025 10:07:32 AM	1	1	NPOC	282.8	283.1	77.71	77.80	NPOC:77.80mg/L	NPOC:77.80mg/L	0	50	
Unknown	NPOC	9GW2_10102025	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2025_10_08_16_42_49.cal	1.00		10/13/2025 10:12:00 AM	1	2	NPOC	283.5	283.1	77.90	77.80	NPOC:77.80mg/L	NPOC:77.80mg/L	0	50	
Unknown	NPOC	9GW2_10102025	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2025_10_08_16_42_49.cal	1.00		10/13/2025 10:21:46 AM	1	1	NPOC	276.9	274.8	76.09	75.50	NPOC:75.50mg/L	NPOC:75.50mg/L	0	50	
Unknown	NPOC	9GW2_10102025	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2025_10_08_16_42_49.cal	1.00		10/13/2025 10:25:54 AM	1	2	NPOC	272.6	274.8	74.91	75.50	NPOC:75.50mg/L	NPOC:75.50mg/L	0	50	
Unknown	NPOC	6GW3_10102025	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2025_10_08_16_42_49.cal	1.00		10/13/2025 10:35:16 AM	1	1	NPOC	104.4	104.3	28.74	28.71	NPOC:28.71mg/L	NPOC:28.71mg/L	0	50	
Unknown	NPOC	6GW3_10102025	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2025_10_08_16_42_49.cal	1.00		10/13/2025 10:38:59 AM	1	2	NPOC	104.2	104.3	28.68	28.71	NPOC:28.71mg/L	NPOC:28.71mg/L	0	50	
Unknown	NPOC	6GW3_10102025	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2025_10_08_16_42_49.cal	1.00		10/13/2025 10:48:13 AM	1	1	NPOC	101.9	102.6	28.05	28.24	NPOC:28.24mg/L	NPOC:28.24mg/L	0	50	
Unknown	NPOC	6GW3_10102025	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2025_10_08_16_42_49.cal	1.00		10/13/2025 10:51:49 AM	1	2	NPOC	103.3	102.6	28.44	28.24	NPOC:28.24mg/L	NPOC:28.24mg/L	0	50	
Unknown	NPOC	6GW4_10102025	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2025_10_08_16_42_49.cal	1.00		10/13/2025 11:00:59 AM	1	1	NPOC	98.74	98.77	27.19	27.19	NPOC:27.19mg/L	NPOC:27.19mg/L	0	50	
Unknown	NPOC	6GW4_10102025	Untitled	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.cal	C:\TOC-L\CalCurves\NPOC_SS.Saline_100mgL_usethisone.2025_10_08_16_42_49.cal	1.00		10/13/2025 11:04:38 AM	1	2	NPOC	98.80	98.77	27.20	27.19	NPOC:27.19mg/L	NPOC:27.19mg/L	0	50	
