ID,from,to,offset,days
13,2023-06-02,2023-10-31,0.09,139
13,2023-11-02,2023-11-12,-0.025,11
13,2023-12-07,2025-02-26,0.09,387
15,2021-03-30,2021-04-05,0.03,7
15,2021-04-30,2021-05-11,-0.025,12
15,2021-05-17,2021-05-23,-0.022,7
15,2021-06-16,2021-06-27,-0.016,11
15,2021-07-07,2021-09-12,0.03,68
15,2021-09-15,2021-12-11,-0.016,41
15,2021-12-13,2022-01-02,-0.015,20
15,2022-04-16,2024-04-26,0.03,446
15,2024-05-15,2024-05-22,0.031,8
15,2024-08-24,2025-04-15,0.03,200
3,2022-11-15,2023-05-31,0.11,147
3,2023-06-01,2024-11-22,-0.01,480
3,2024-11-28,2024-12-13,0.011,16
3,2024-12-14,2025-01-27,-0.01,30
3,2025-02-02,2025-04-14,0.01,54
5,2021-03-30,2021-04-05,0,7
5,2021-04-30,2021-05-11,-0.055,12
5,2021-07-08,2021-09-13,-0,67
5,2021-09-24,2021-12-20,-0.046,39
5,2021-12-23,2022-01-16,-0.045,18
5,2022-04-16,2022-11-09,0,180
5,2022-12-08,2023-05-28,-0.03,114
5,2023-05-29,2023-06-04,-0.058,7
5,2023-06-21,2023-09-01,-0.03,54
5,2023-09-05,2023-09-27,-0.192,23
5,2023-09-28,2023-10-31,-0.03,34
5,2023-11-01,2025-04-14,-0.06,362
5a,2021-04-30,2021-05-11,-0.055,12
5a,2021-05-17,2021-05-23,-0.052,7
5a,2021-05-24,2021-05-31,-0.054,8
5a,2021-06-16,2021-06-27,-0.046,12
5a,2021-07-07,2021-09-13,0,67
5a,2021-11-30,2022-01-02,-0.046,34
5a,2022-04-16,2022-11-13,0,208
5a,2022-11-14,2023-10-31,-0.09,254
5a,2023-11-01,2024-04-17,-0.1,169
6,2021-04-06,2022-01-02,0,260
6,2022-01-08,2022-01-16,0.001,9
6,2022-01-18,2022-01-27,-0.001,10
6,2022-02-18,2022-02-25,-0.031,8
6,2022-06-15,2022-09-10,-0,85
6,2022-09-19,2022-09-27,-0.036,9
6,2022-09-29,2022-10-06,-0.035,8
6,2022-10-08,2022-10-16,-0.033,9
6,2022-10-20,2022-10-26,-0.031,7
6,2022-10-27,2022-11-07,-0.035,12
6,2022-11-15,2023-03-10,-0.106,110
6,2023-04-28,2023-05-07,-0.183,10
6,2023-05-13,2023-08-01,0,81
6,2023-08-10,2023-09-08,-0.282,30
6,2023-09-10,2023-09-24,-0.355,15
6,2023-09-29,2023-10-31,0.195,32
6,2023-11-01,2024-10-24,0.103,231
6,2024-11-23,2024-12-06,0.125,14
6,2024-12-14,2025-01-02,0.103,20
6,2025-02-14,2025-02-26,0.121,13
6,2025-03-17,2025-03-26,0.123,10
6a,2021-04-06,2022-09-13,0,338
6a,2022-09-15,2022-10-07,0.025,22
6a,2022-11-16,2023-03-19,0.059,11
6a,2023-05-23,2024-04-17,0.06,265
6a,2024-07-25,2024-08-01,-0.04,8
6a,2024-08-10,2024-09-25,-0.039,41
6a,2024-09-28,2025-01-26,-0.04,58
7,2021-04-06,2022-09-13,0.03,329
7,2022-09-15,2022-09-29,0.055,15
7,2022-10-01,2022-10-16,0.056,16
7,2022-10-20,2022-10-26,0.059,7
7,2022-11-16,2023-10-31,0,309
7,2023-11-01,2024-04-18,0.01,170
7,2024-07-11,2024-07-19,0.011,9
7,2024-08-07,2024-11-21,0.01,99
7,2025-01-28,2025-02-13,0.03,17
7,2025-02-20,2025-03-02,0.029,11
7,2025-03-11,2025-03-29,0.03,19
7,2025-03-31,2025-04-14,0.031,15
9,2021-04-30,2021-05-11,-0.225,12
9,2021-05-24,2021-05-31,-0.224,8
9,2021-06-16,2021-06-27,-0.216,12
9,2021-07-07,2021-09-13,-0.17,69
9,2021-09-19,2021-10-13,-0.216,25
9,2021-12-01,2021-12-11,-0.031,11
9,2021-12-13,2022-01-02,-0.03,20
9,2022-04-16,2022-10-23,0.015,187
9,2022-11-15,2023-01-20,0.035,67
9,2023-05-24,2023-05-31,-0.059,8
9,2023-07-07,2023-09-26,-0.061,59
9,2023-09-29,2023-10-31,0.185,33
9,2023-11-02,2024-03-25,0.285,143
9,2024-03-26,2024-04-28,-0.055,33
9,2024-07-26,2025-04-15,0.115,250
