ID,a_mine,b_mine,a_matt,b_matt,h0,note
13,434.4353139306923,1.6245448590915934,1060.565024,2.20487,0,
15,9664.826844834297,3.837943677853688,2194.324008,2.889457,0,
3,874.6816676146415,3.0007057645639157,393.169842,2.566649,0,until 2022-11-14; then a=433.61 b=2.5461
5,632.4392610908067,1.0570645746745575,1340.054121,1.398252,0,
5a,2341.2067849788123,7.60208636025602,173.44,1.1165,0.3,pre-2023 era
6,1946.8623193167489,2.9111671752804087,621.352764,1.347599,0,
6a,2812.054545697086,3.6901694609719833,1264.678333,2.957642,0,
7,2383.6327672273733,3.027796857439979,1780.837932,3.068458,0,
9,1631.8082988497558,1.8478369707339528,1259.610691,1.7483900000000001,0,
