"TOA5","5_Bradford","CR1000","68222","CR1000.Std.27.04","CPU:Bradford5_1hr_08262025.CR1","55220","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2High","CO2Low"
"TS","RN","Volts","ppm","ppm"
"","","Min","Smp","Smp"
"2025-09-26 09:00:00",675,13.38,1765.745,592.4161
"2025-09-26 10:00:00",676,13.48,21231.5,2635.4
"2025-09-26 11:00:00",677,13.61,21225.75,2439.029
"2025-09-26 12:00:00",678,13.63,21225.75,2484.629
"2025-09-26 13:00:00",679,13.12,21237.25,2254.982
"2025-09-26 14:00:00",680,13.66,21239.87,2211.558
"2025-09-26 15:00:00",681,14.26,21240.49,2242.177
"2025-09-26 16:00:00",682,13.81,21237.95,2267.381
"2025-09-26 17:00:00",683,13.38,21240.91,2263.177
"2025-09-26 18:00:00",684,13.07,21239.68,2210.044
"2025-09-26 19:00:00",685,13.04,21239.01,2168.479
"2025-09-26 20:00:00",686,13.02,21240.43,2134.787
"2025-09-26 21:00:00",687,13.02,21241.38,2098.315
"2025-09-26 22:00:00",688,13.01,21242.65,2096.656
"2025-09-26 23:00:00",689,12.99,21244.4,2053.816
"2025-09-27 00:00:00",690,12.98,21242.89,2068.6
"2025-09-27 01:00:00",691,12.96,21241.71,2070.128
"2025-09-27 02:00:00",692,12.94,21246.4,2095.097
"2025-09-27 03:00:00",693,12.92,21243.31,2058.229
"2025-09-27 04:00:00",694,12.9,21239.76,2011.468
"2025-09-27 05:00:00",695,12.88,21243.36,2038.515
"2025-09-27 06:00:00",696,12.88,21243.41,2121.65
"2025-09-27 07:00:00",697,12.87,21242.99,2150.778
"2025-09-27 08:00:00",698,12.88,21241.81,2182.851
"2025-09-27 09:00:00",699,12.89,21244.17,2191.425
"2025-09-27 10:00:00",700,13.09,21245.34,2271.511
"2025-09-27 11:00:00",701,13.24,21245.54,2339.067
"2025-09-27 12:00:00",702,13.29,21243.73,2330.81
"2025-09-27 13:00:00",703,14.23,21244.14,2359.457
"2025-09-27 14:00:00",704,14.25,21243,2415.201
"2025-09-27 15:00:00",705,13.77,21234.38,2446.012
"2025-09-27 16:00:00",706,13.24,21244.44,2519.549
"2025-09-27 17:00:00",707,13.45,21243,2560.631
"2025-09-27 18:00:00",708,13.11,21244.44,2561.042
"2025-09-27 19:00:00",709,13.08,21243,2513.797
"2025-09-27 20:00:00",710,13.06,21246.68,2491.296
"2025-09-27 21:00:00",711,13.05,21247.12,2404.25
"2025-09-27 22:00:00",712,13.04,21246.94,2364.126
"2025-09-27 23:00:00",713,13.02,21246.19,2330.353
"2025-09-28 00:00:00",714,13.01,21248.77,2294.322
"2025-09-28 01:00:00",715,12.99,21244.56,2254.325
"2025-09-28 02:00:00",716,12.97,21243.23,2215.156
"2025-09-28 03:00:00",717,12.94,21234.75,2182.717
"2025-09-28 04:00:00",718,12.91,21243.62,2232.451
"2025-09-28 05:00:00",719,12.89,21243.86,2197.556
"2025-09-28 06:00:00",720,12.88,21243.76,2228.358
"2025-09-28 07:00:00",721,12.93,21244.65,2207.76
"2025-09-28 08:00:00",722,13.49,21241.97,2468
"2025-09-28 09:00:00",723,13.41,21245.88,2534.749
"2025-09-28 10:00:00",724,13.54,21244.44,2603.356
"2025-09-28 11:00:00",725,13.48,21244.44,2391.784
"2025-09-28 12:00:00",726,14.26,21245.88,2310.853
"2025-09-28 13:00:00",727,14.26,21245.88,2298.939
"2025-09-28 14:00:00",728,13.8,21245.88,2302.226
"2025-09-28 15:00:00",729,13.77,21247.32,2287.437
"2025-09-28 16:00:00",730,13.77,21240.13,2256.214
"2025-09-28 17:00:00",731,13.29,21245.88,2243.068
"2025-09-28 18:00:00",732,13.07,21245.88,2247.587
"2025-09-28 19:00:00",733,13.05,21244.44,2212.667
"2025-09-28 20:00:00",734,13.04,21246.18,2192.568
"2025-09-28 21:00:00",735,13.02,21245.17,2177.823
"2025-09-28 22:00:00",736,13.01,21247.93,2148.376
"2025-09-28 23:00:00",737,13,21248.45,2135.692
"2025-09-29 00:00:00",738,12.99,21248.89,2131.628
"2025-09-29 01:00:00",739,12.98,21247.15,2099.549
"2025-09-29 02:00:00",740,12.96,21247.96,2119.619
"2025-09-29 03:00:00",741,12.95,21247.08,2120.086
"2025-09-29 04:00:00",742,12.92,21244.96,2114.945
"2025-09-29 05:00:00",743,12.9,21247.27,2094.631
"2025-09-29 06:00:00",744,12.89,21237.02,2119.121
"2025-09-29 07:00:00",745,12.88,21240.27,2099.296
"2025-09-29 08:00:00",746,13.02,21245.12,2162.763
"2025-09-29 09:00:00",747,13.12,21242.89,2199.248
"2025-09-29 10:00:00",748,13.44,21246.6,2372.467
"2025-09-29 11:00:00",749,13.61,21246.25,2491.245
"2025-09-29 12:00:00",750,13.42,21245.88,2590.62
"2025-09-29 13:00:00",751,14.26,21244.46,2618.969
"2025-09-29 14:00:00",752,14.26,21245.88,2532.695
"2025-09-29 15:00:00",753,13.84,21245.88,2382.335
"2025-09-29 16:00:00",754,13.83,21244.44,2341.254
"2025-09-29 17:00:00",755,13.13,21245.88,2320.302
"2025-09-29 18:00:00",756,13.06,21245.99,2314.973
"2025-09-29 19:00:00",757,13.05,21246.35,2285.022
"2025-09-29 20:00:00",758,13.04,21247.58,2273.24
"2025-09-29 21:00:00",759,13.02,21235.78,2290.463
"2025-09-29 22:00:00",760,13.01,21246.48,2241.229
"2025-09-29 23:00:00",761,13,21244.41,2255.131
"2025-09-30 00:00:00",762,12.98,21246.51,2228.496
"2025-09-30 01:00:00",763,12.97,21245.12,2240.674
"2025-09-30 02:00:00",764,12.94,21246.05,2201.742
"2025-09-30 03:00:00",765,12.92,21243.42,2222.571
"2025-09-30 04:00:00",766,12.89,21243.51,2195.465
"2025-09-30 05:00:00",767,12.88,21243.27,2190.922
"2025-09-30 06:00:00",768,12.87,21243.13,2206.518
"2025-09-30 07:00:00",769,12.87,21243.35,2223.796
"2025-09-30 08:00:00",770,12.96,21243.49,2237.367
"2025-09-30 09:00:00",771,13.1,21241.65,2248.828
"2025-09-30 10:00:00",772,13.51,21245.12,2354.475
"2025-09-30 11:00:00",773,13.49,21244.34,2499.165
"2025-09-30 12:00:00",774,13.74,21243.11,2572.968
"2025-09-30 13:00:00",775,14.25,21245.88,2522.425
"2025-09-30 14:00:00",776,14.26,21245.88,2432.455
"2025-09-30 15:00:00",777,13.77,21244.46,2376.586
"2025-09-30 16:00:00",778,13.31,21245.88,2353.167
"2025-09-30 17:00:00",779,13.56,21244.44,2336.735
"2025-09-30 18:00:00",780,13.08,21247.38,2360.98
"2025-09-30 19:00:00",781,13.06,21244.63,2344.561
"2025-09-30 20:00:00",782,13.05,21248.12,2302.057
"2025-09-30 21:00:00",783,13.04,21247.63,2275.71
"2025-09-30 22:00:00",784,13.02,21246.65,2228.511
"2025-09-30 23:00:00",785,13.01,21243.25,2237.343
"2025-10-01 00:00:00",786,13,21245.23,2209.463
"2025-10-01 01:00:00",787,12.98,21243.04,2158.033
"2025-10-01 02:00:00",788,12.96,21243.88,2148.403
"2025-10-01 03:00:00",789,12.94,21246.21,2148.083
"2025-10-01 04:00:00",790,12.92,21249.87,2137.357
"2025-10-01 05:00:00",791,12.89,21251.94,2123.324
"2025-10-01 06:00:00",792,12.87,21255.77,2086.567
"2025-10-01 07:00:00",793,12.91,21254.14,2096.967
"2025-10-01 08:00:00",794,13.48,21246.61,2366.715
"2025-10-01 09:00:00",795,13.45,21245.41,2464.778
"2025-10-01 10:00:00",796,13.51,21245.88,2496.543
"2025-10-01 11:00:00",797,13.74,21245.88,2290.723
"2025-10-01 12:00:00",798,14.25,21247.32,2250.052
"2025-10-01 13:00:00",799,14.26,21245.88,2241.836
"2025-10-01 14:00:00",800,13.84,21245.88,2223.76
"2025-10-01 15:00:00",801,13.79,21247.32,2257.858
"2025-10-01 16:00:00",802,13.76,21245.88,2239.371
"2025-10-01 17:00:00",803,13.4,21241.57,2242.657
"2025-10-01 18:00:00",804,13.07,21246.18,2273.09
"2025-10-01 19:00:00",805,13.05,21246.58,2223.833
"2025-10-01 20:00:00",806,13.04,21248.33,2210.458
"2025-10-01 21:00:00",807,13.02,21245.62,2208.42
"2025-10-01 22:00:00",808,13.01,21247.26,2201.719
"2025-10-01 23:00:00",809,13,21237.03,2186.501
"2025-10-02 00:00:00",810,12.99,21245.83,2174.603
"2025-10-02 01:00:00",811,12.97,21247.8,2171.518
"2025-10-02 02:00:00",812,12.96,21245.95,2201.058
"2025-10-02 03:00:00",813,12.94,21249.8,2138.993
"2025-10-02 04:00:00",814,12.92,21249.09,2136.456
"2025-10-02 05:00:00",815,12.9,21252.88,2159.854
"2025-10-02 06:00:00",816,12.88,21253.13,2121.656
"2025-10-02 07:00:00",817,12.9,21253.23,2127.008
"2025-10-02 08:00:00",818,13.43,21244.78,2384.178
"2025-10-02 09:00:00",819,13.57,21246.63,2453.905
"2025-10-02 10:00:00",820,13.56,21245.88,2155.564
"2025-10-02 11:00:00",821,13.69,21245.88,2153.51
"2025-10-02 12:00:00",822,14.26,21245.88,2149.812
"2025-10-02 13:00:00",823,14.25,21247.32,2177.337
"2025-10-02 14:00:00",824,13.82,21247.32,2188.019
"2025-10-02 15:00:00",825,13.77,21245.88,2201.165
"2025-10-02 16:00:00",826,13.55,21245.88,2261.966
"2025-10-02 17:00:00",827,13.34,21245.88,2239.781
"2025-10-02 18:00:00",828,13.06,21248.03,2214.535
"2025-10-02 19:00:00",829,13.04,21249.4,2192.901
"2025-10-02 20:00:00",830,13.04,21247.03,2179.921
"2025-10-02 21:00:00",831,13.02,21246.21,2159.706
"2025-10-02 22:00:00",832,13.01,21245.02,2188.899
"2025-10-02 23:00:00",833,13,21243.96,2208.658
"2025-10-03 00:00:00",834,12.99,21245.3,2219.891
"2025-10-03 01:00:00",835,12.97,21248.55,2214.067
"2025-10-03 02:00:00",836,12.96,21245.39,2185.799
"2025-10-03 03:00:00",837,12.94,21248.14,2178.275
"2025-10-03 04:00:00",838,12.92,21246.61,2211.811
"2025-10-03 05:00:00",839,12.9,21250.89,2198.283
"2025-10-03 06:00:00",840,12.88,21249.75,2199.809
"2025-10-03 07:00:00",841,12.87,21252.65,2232.427
"2025-10-03 08:00:00",842,12.96,21248.14,2223.065
"2025-10-03 09:00:00",843,13.45,21244.36,2460.548
"2025-10-03 10:00:00",844,13.55,21247.27,2541.078
"2025-10-03 11:00:00",845,13.78,21248.02,2534.423
"2025-10-03 12:00:00",846,14.24,21237.26,2361.385
"2025-10-03 13:00:00",847,14.26,21245.88,2326.464
"2025-10-03 14:00:00",848,13.84,21245.88,2317.837
"2025-10-03 15:00:00",849,13.83,21245.88,2327.286
"2025-10-03 16:00:00",850,13.71,21246.28,2292.82
"2025-10-03 17:00:00",851,13.24,21245.88,2300.994
"2025-10-03 18:00:00",852,13.07,21233.4,2330.623
"2025-10-03 19:00:00",853,13.05,21247.79,2311.217
"2025-10-03 20:00:00",854,13.05,21248.79,2309.937
"2025-10-03 21:00:00",855,13.04,21248.7,2286.507
"2025-10-03 22:00:00",856,13.02,21247.05,2258.804
"2025-10-03 23:00:00",857,13.01,21243.26,2238.576
"2025-10-04 00:00:00",858,13,21246.24,2219.689
"2025-10-04 01:00:00",859,12.98,21243.21,2233.23
"2025-10-04 02:00:00",860,12.96,21244.23,2230.051
"2025-10-04 03:00:00",861,12.94,21249.98,2208.985
"2025-10-04 04:00:00",862,12.92,21247.27,2228.726
"2025-10-04 05:00:00",863,12.9,21250.33,2246.978
"2025-10-04 06:00:00",864,12.88,21232.5,2213.072
"2025-10-04 07:00:00",865,12.87,21239.12,2243.828
"2025-10-04 08:00:00",866,13.07,21238.42,2238.413
"2025-10-04 09:00:00",867,13.41,21243.35,2443.342
"2025-10-04 10:00:00",868,13.51,21247.94,2548.965
"2025-10-04 11:00:00",869,13.74,21246.51,2375.833
"2025-10-04 12:00:00",870,13.59,21247.69,2291.585
"2025-10-04 13:00:00",871,14.26,21245.88,2292.366
"2025-10-04 14:00:00",872,13.83,21246.18,2303.08
"2025-10-04 15:00:00",873,13.8,21244.44,2322.356
"2025-10-04 16:00:00",874,13.83,21248.76,2281.685
"2025-10-04 17:00:00",875,13.16,21247.32,2303.048
"2025-10-04 18:00:00",876,13.07,21244.44,2305.102
"2025-10-04 19:00:00",877,13.05,21244.81,2301.033
"2025-10-04 20:00:00",878,13.05,21239.33,2255.203
"2025-10-04 21:00:00",879,13.04,21235.28,2267.299
"2025-10-04 22:00:00",880,13.02,21227.79,2220.687
"2025-10-04 23:00:00",881,13.01,21228.03,2226.463
"2025-10-05 00:00:00",882,13,21223.4,2252.725
"2025-10-05 01:00:00",883,12.98,21227.16,2221.853
"2025-10-05 02:00:00",884,12.96,21220.52,2252.572
"2025-10-05 03:00:00",885,12.94,21221.85,2233.252
"2025-10-05 04:00:00",886,12.92,21220.19,2208.169
"2025-10-05 05:00:00",887,12.89,21221.29,2214.035
"2025-10-05 06:00:00",888,12.88,21215.46,2228.818
"2025-10-05 07:00:00",889,12.88,21217.72,2242.31
"2025-10-05 08:00:00",890,13.02,21221.11,2241.953
"2025-10-05 09:00:00",891,13.36,21210.19,2420.735
"2025-10-05 10:00:00",892,13.55,21220,2528.587
"2025-10-05 11:00:00",893,13.65,21212.81,2352.757
"2025-10-05 12:00:00",894,13.98,21220,2333.859
"2025-10-05 13:00:00",895,13.56,21221.16,2406.295
"2025-10-05 14:00:00",896,13.25,21224.57,2425.665
"2025-10-05 15:00:00",897,14.26,21226.84,2434.635
"2025-10-05 16:00:00",898,13.29,21222.66,2514.765
"2025-10-05 17:00:00",899,13.19,21223.32,2444.176
"2025-10-05 18:00:00",900,13.06,21220.06,2443.965
"2025-10-05 19:00:00",901,13.04,21215.54,2448.216
"2025-10-05 20:00:00",902,13.03,21208.24,2413.281
"2025-10-05 21:00:00",903,13.02,21217.12,2444.124
"2025-10-05 22:00:00",904,13,21219.42,2433.54
"2025-10-05 23:00:00",905,12.99,21215.96,2398.962
"2025-10-06 00:00:00",906,12.97,21226.66,2369.291
"2025-10-06 01:00:00",907,12.95,21226.81,2403.408
"2025-10-06 02:00:00",908,12.92,21224.52,2356.887
"2025-10-06 03:00:00",909,12.89,21220.54,2329.81
"2025-10-06 04:00:00",910,12.87,21216.18,2329.394
"2025-10-06 05:00:00",911,12.87,21214.5,2316.632
"2025-10-06 06:00:00",912,12.87,21217.09,2343.464
"2025-10-06 07:00:00",913,12.9,21214.62,2389.773
"2025-10-06 08:00:00",914,13.34,21216.1,2635.63
"2025-10-06 09:00:00",915,13.26,21215.79,2696.213
"2025-10-06 10:00:00",916,13.34,21219.54,2703.31
"2025-10-06 11:00:00",917,13.43,21226.27,2718.041
"2025-10-06 12:00:00",918,13.96,21221.56,2722.92
"2025-10-06 13:00:00",919,14.25,21220,2723.315
"2025-10-06 14:00:00",920,14.26,21225.75,2648.957
"2025-10-06 15:00:00",921,13.43,21223.08,2577.91
"2025-10-06 16:00:00",922,13.57,21222.43,2505.046
"2025-10-06 17:00:00",923,13.36,21227.94,2544.222
"2025-10-06 18:00:00",924,13.08,21227.45,2602.743
"2025-10-06 19:00:00",925,13.06,21229.84,2571.223
"2025-10-06 20:00:00",926,13.05,21224.72,2521.412
"2025-10-06 21:00:00",927,13.04,21227.44,2513.998
"2025-10-06 22:00:00",928,13.02,21225.9,2440.608
"2025-10-06 23:00:00",929,13.01,21220.14,2440.853
"2025-10-07 00:00:00",930,13,21225.37,2416.965
"2025-10-07 01:00:00",931,12.98,21229.14,2403.345
"2025-10-07 02:00:00",932,12.96,21223.44,2366.377
"2025-10-07 03:00:00",933,12.93,21221.62,2353.188
"2025-10-07 04:00:00",934,12.91,21222.93,2349.065
"2025-10-07 05:00:00",935,12.88,21225.87,2370.596
"2025-10-07 06:00:00",936,12.87,21225.75,2376.995
"2025-10-07 07:00:00",937,12.9,21223.52,2383.64
"2025-10-07 08:00:00",938,13.33,21228.69,2615.809
"2025-10-07 09:00:00",939,13.49,21225.75,2586.512
