OID_,Join_Count,distance,TARGET_FID,ORIG_FID,arcid,grid_code,from_node,to_node,ID,LineID,Fill_DEM_Cul1,NEAR_FID,NEAR_DIST,GW,Lat,Lon,Stream
52,1,3.513947591,52,15,,,,,185,9,39958,0,0,5,29.90421004,-82.22058485,9
53,1,1.666381449,53,15,,,,,185,9,39958,0,0,5,29.90421004,-82.22058485,9
54,1,1.098101357,54,15,,,,,185,9,39892,0,0,5,29.90421004,-82.22058485,9
55,1,2.763118902,55,15,,,,,185,9,39982,0,0,5,29.90421004,-82.22058485,9
56,1,4.697214651,56,15,,,,,185,9,39968,0,0,5,29.90421004,-82.22058485,9
57,1,4.766745799,57,19,,,,,192,9,40002,0,0,1,29.90454549,-82.22074127,9
58,1,2.781212505,58,19,,,,,192,9,39919,0,0,1,29.90454549,-82.22074127,9
59,1,0.865112996,59,19,,,,,192,9,39586,0,0,1,29.90454549,-82.22074127,9
60,1,1.174197907,60,19,,,,,192,9,39296,0,0,0,29.90455759,-82.22074913,9
61,1,2.229423082,61,19,,,,,192,9,39296,0,0,0,29.90455759,-82.22074913,9
62,1,4.069633129,62,19,,,,,192,9,39296,0,0,0,29.90455759,-82.22074913,9
63,1,3.306907515,63,3,,,,,305,6,40977,0,0,1,29.94385232,-82.18859754,6
64,1,1.329359747,64,3,,,,,305,6,40977,0,0,1,29.94385232,-82.18859754,6
65,1,0.773794134,65,3,,,,,305,6,40977,0,0,1,29.94385232,-82.18859754,6
66,1,2.725860851,66,3,,,,,305,6,40977,0,0,1,29.94385232,-82.18859754,6
67,1,4.718249401,67,3,,,,,305,6,41027,0,0,1,29.94385232,-82.18859754,6
68,1,4.70847031,68,3,,,,,305,6,40977,0,0,2,29.9437948,-82.18848519,6
69,1,3.452203677,69,3,,,,,305,6,40977,0,0,2,29.9437948,-82.18848519,6
70,1,3.108975359,70,3,,,,,305,6,40977,0,0,2,29.9437948,-82.18848519,6
71,1,3.926034301,71,3,,,,,305,6,40977,0,0,2,29.9437948,-82.18848519,6
72,1,3.373341269,72,3,,,,,305,6,40977,0,0,3,29.94377388,-82.18834487,6
73,1,1.644830988,73,3,,,,,305,6,40977,0,0,3,29.94377388,-82.18834487,6
74,1,1.425309314,74,3,,,,,305,6,40977,0,0,3,29.94377388,-82.18834487,6
75,1,3.059010347,75,3,,,,,305,6,40977,0,0,3,29.94377388,-82.18834487,6
76,1,4.968257437,76,3,,,,,305,6,40977,0,0,3,29.94377388,-82.18834487,6
77,1,3.498884061,77,12,,,,,298,6,40977,0,0,4,29.94397398,-82.18840013,6
78,1,1.558783876,78,12,,,,,298,6,40977,0,0,4,29.94397398,-82.18840013,6
79,1,0.785763754,79,12,,,,,298,6,40977,0,0,4,29.94397398,-82.18840013,6
80,1,2.608647578,80,12,,,,,298,6,40977,0,0,4,29.94397398,-82.18840013,6
81,1,4.58177473,81,12,,,,,298,6,40977,0,0,4,29.94397398,-82.18840013,6
82,1,4.773851684,82,20,,,,,305,,41160,0,0,5,29.94384228,-82.18889846,6
83,1,2.773852218,83,20,,,,,305,,41253,0,0,5,29.94384228,-82.18889846,6
84,1,0.773855503,84,20,,,,,305,,41393,0,0,5,29.94384228,-82.18889846,6
85,1,1.22615193,85,20,,,,,305,,41458,0,0,5,29.94384228,-82.18889846,6
86,1,3.226150147,86,20,,,,,305,,41523,0,0,5,29.94384228,-82.18889846,6
