OID_,Join_Count,distance,TARGET_FID,ORIG_FID,arcid,grid_code,from_node,to_node,ID,LineID,Fill_DEM_Cul1,NEAR_FID,NEAR_DIST,GW,Lat,Lon,Stream
1,1,4.072086414,1,1,,,,,253,5,31330,0,0,4,29.86231411,-82.28329421,5
2,1,2.183494325,2,1,,,,,253,5,31325,0,0,4,29.86231411,-82.28329421,5
3,1,0.976425707,3,1,,,,,253,5,31325,0,0,4,29.86231411,-82.28329421,5
4,1,2.266973057,4,1,,,,,253,5,31325,0,0,4,29.86231411,-82.28329421,5
5,1,4.162322252,5,1,,,,,253,5,31420,0,0,4,29.86231411,-82.28329421,5
6,1,4.307769575,6,1,,,,,253,5,31517,0,0,5,29.86227684,-82.28319925,5
7,1,2.565908146,7,1,,,,,253,5,31581,0,0,5,29.86227684,-82.28319925,5
8,1,1.615825024,8,1,,,,,253,5,31517,0,0,5,29.86227684,-82.28319925,5
9,1,2.576411535,9,1,,,,,253,5,31590,0,0,5,29.86227684,-82.28319925,5
10,1,4.320289606,10,1,,,,,253,5,31539,0,0,5,29.86227684,-82.28319925,5
11,1,3.741868347,11,1,,,,,253,5,31838,0,0,6,29.86225489,-82.28305791,5
12,1,1.86608391,12,1,,,,,253,5,31883,0,0,6,29.86225489,-82.28305791,5
13,1,0.981305046,13,1,,,,,253,5,31887,0,0,6,29.86225489,-82.28305791,5
14,1,2.538434564,14,1,,,,,253,5,31964,0,0,6,29.86225489,-82.28305791,5
15,1,4.463668947,15,1,,,,,253,5,31955,0,0,6,29.86225489,-82.28305791,5
16,1,3.486482917,16,1,,,,,253,5,32106,0,0,8,29.86250524,-82.28290828,5
17,1,1.48648292,17,1,,,,,253,5,32115,0,0,8,29.86250524,-82.28290828,5
18,1,0.51351708,18,1,,,,,253,5,32185,0,0,8,29.86250524,-82.28290828,5
19,1,2.51351708,19,1,,,,,253,5,32180,0,0,8,29.86250524,-82.28290828,5
20,1,4.513517081,20,1,,,,,253,5,32180,0,0,8,29.86250524,-82.28290828,5
21,1,4.82992328,21,4,,,,,247,5,31325,0,0,0,29.86239,-82.283248,5
22,1,4.903686651,22,4,,,,,247,5,31397,0,0,0,29.86239,-82.283248,5
23,1,4.538668321,23,5,,,,,260,5,31325,0,0,3,29.86219572,-82.28339131,5
24,1,3.067724644,24,5,,,,,260,5,31325,0,0,3,29.86219572,-82.28339131,5
25,1,2.494465642,25,5,,,,,260,5,31325,0,0,3,29.86219572,-82.28339131,5
26,1,3.321713892,26,5,,,,,260,5,31477,0,0,3,29.86219572,-82.28339131,5
27,1,4.88315549,27,5,,,,,260,5,31529,0,0,3,29.86219572,-82.28339131,5
28,1,4.753751739,28,6,,,,,256,5,31325,0,0,2,29.86210474,-82.28345736,5
29,1,2.806784447,29,6,,,,,256,5,31421,0,0,2,29.86210474,-82.28345736,5
30,1,1.076067965,30,6,,,,,256,5,31325,0,0,2,29.86210474,-82.28345736,5
31,1,1.561347366,31,6,,,,,256,5,31325,0,0,2,29.86210474,-82.28345736,5
32,1,3.38364093,32,6,,,,,256,5,31655,0,0,1,29.86206779,-82.28340108,5
33,1,1.549150004,33,6,,,,,256,5,31605,0,0,1,29.86206779,-82.28340108,5
34,1,1.162198572,34,6,,,,,256,5,31491,0,0,1,29.86206779,-82.28340108,5
35,1,2.881240237,35,6,,,,,256,5,31543,0,0,1,29.86206779,-82.28340108,5
36,1,4.822072695,36,6,,,,,256,5,31637,0,0,1,29.86206779,-82.28340108,5
37,1,4.759392414,37,14,,,,,199,9,39296,0,0,2,29.90451659,-82.22066116,9
38,1,2.780772908,38,14,,,,,199,9,39826,0,0,2,29.90451659,-82.22066116,9
39,1,0.90198657,39,14,,,,,199,9,39846,0,0,2,29.90451659,-82.22066116,9
40,1,1.376394413,40,14,,,,,199,9,39780,0,0,2,29.90451659,-82.22066116,9
41,1,3.312905585,41,14,,,,,199,9,39778,0,0,2,29.90451659,-82.22066116,9
42,1,4.709639509,42,14,,,,,199,9,39899,0,0,3,29.90442664,-82.22065497,9
43,1,2.710797136,43,14,,,,,199,9,40047,0,0,3,29.90442664,-82.22065497,9
44,1,0.718427391,44,14,,,,,199,9,40127,0,0,3,29.90442664,-82.22065497,9
45,1,1.297634279,45,14,,,,,199,9,40017,0,0,3,29.90442664,-82.22065497,9
46,1,3.294172358,46,14,,,,,199,9,39792,0,0,3,29.90442664,-82.22065497,9
47,1,4.535092503,47,15,,,,,185,9,40071,0,0,4,29.90436316,-82.22056952,9
48,1,2.599879499,48,15,,,,,185,9,40011,0,0,4,29.90436316,-82.22056952,9
49,1,0.975542312,49,15,,,,,185,9,39999,0,0,4,29.90436316,-82.22056952,9
50,1,1.77313062,50,15,,,,,185,9,39990,0,0,4,29.90436316,-82.22056952,9
51,1,3.65189014,51,15,,,,,185,9,39960,0,0,4,29.90436316,-82.22056952,9
