OID_,ORIG_FID,LineID,Fill_DEM_Cul1
1,1,5,33987
2,1,5,33967
3,1,5,33960
4,1,5,33940
5,1,5,33937
6,1,5,33920
7,1,5,33902
8,1,5,33872
9,1,5,33831
10,1,5,33811
11,1,5,33753
12,1,5,33682
13,1,5,33672
14,1,5,33581
15,1,5,33657
16,1,5,33573
17,1,5,33470
18,1,5,33455
19,1,5,33362
20,1,5,33276
21,1,5,33259
22,1,5,33205
23,1,5,33181
24,1,5,33167
25,1,5,33171
26,1,5,33174
27,1,5,33129
28,1,5,33177
29,1,5,33164
30,1,5,33164
31,1,5,33192
32,1,5,33151
33,1,5,33125
34,1,5,33102
35,1,5,33083
36,1,5,33076
37,1,5,33063
38,1,5,33098
39,1,5,33088
40,1,5,33073
41,1,5,33040
42,1,5,33007
43,1,5,32972
44,1,5,32972
45,1,5,32917
46,1,5,32878
47,1,5,32846
48,1,5,32812
49,1,5,32803
50,1,5,32781
51,1,5,32732
52,1,5,32710
53,1,5,32680
54,1,5,32654
55,1,5,32638
56,1,5,32622
57,1,5,32586
58,1,5,32545
59,1,5,32545
60,1,5,32488
61,1,5,32475
62,1,5,32438
63,1,5,32433
64,1,5,32417
65,1,5,32404
66,1,5,32416
67,1,5,32422
68,1,5,32385
69,1,5,32385
70,1,5,32365
71,1,5,32317
72,1,5,32275
73,1,5,32250
74,1,5,32250
75,1,5,32214
76,1,5,32174
77,1,5,32152
78,1,5,32152
79,1,5,32184
80,1,5,32295
81,1,5,32362
82,1,5,32320
83,1,5,32320
84,1,5,32302
85,1,5,32253
86,1,5,32104
87,1,5,31996
88,1,5,31996
89,1,5,31970
90,1,5,31934
91,1,5,31921
92,1,5,31916
93,1,5,31901
94,1,5,31845
95,1,5,31781
96,1,5,31738
97,1,5,31734
98,1,5,31696
99,1,5,31685
100,1,5,31661
101,1,5,31656
102,1,5,31656
103,1,5,31656
104,1,5,31695
105,1,5,31695
106,1,5,31679
107,1,5,31713
108,1,5,31730
109,1,5,31766
110,1,5,31813
111,1,5,31819
112,1,5,31786
113,1,5,31751
114,1,5,31695
115,1,5,31637
116,1,5,31620
117,1,5,31610
118,1,5,31557
119,1,5,31489
120,1,5,31443
121,1,5,31443
122,1,5,31443
123,1,5,31636
124,1,5,31744
125,1,5,31820
126,1,5,32006
127,1,5,32025
128,1,5,32033
129,1,5,32009
130,1,5,31968
131,1,5,31817
132,1,5,31723
133,1,5,31723
134,1,5,31559
135,1,5,31455
136,1,5,31433
137,1,5,31405
138,1,5,31411
139,1,5,31411
140,1,5,31330
141,1,5,31325
142,1,5,31325
143,1,5,31325
144,1,5,31325
145,1,5,31325
146,1,5,31325
147,1,5,31325
148,1,5,31420
149,1,5,31489
150,1,5,31517
151,1,5,31598
152,1,5,31581
153,1,5,31517
154,1,5,31517
155,1,5,31517
156,1,5,31590
157,1,5,31590
158,1,5,31539
159,1,5,31614
160,1,5,31657
161,1,5,31695
162,1,5,31736
163,1,5,31780
164,1,5,31838
165,1,5,31885
166,1,5,31883
167,1,5,31874
168,1,5,31887
169,1,5,31954
170,1,5,31964
171,1,5,31955
172,1,5,31955
173,1,5,31963
174,1,5,31967
175,1,5,32027
176,1,5,32036
177,1,5,32036
178,1,5,32048
179,1,5,32119
180,1,5,32119
181,1,5,32071
182,1,5,32106
183,1,5,32106
184,1,5,32115
185,1,5,32115
186,1,5,32185
187,1,5,32180
188,1,5,32180
189,1,5,32180
190,1,5,32180
191,1,5,32180
192,1,5,32180
193,1,5,32180
194,1,5,32180
195,1,5,32180
196,1,5,32180
197,1,5,32180
198,1,5,32240
199,1,5,32300
200,1,5,32298
201,1,5,32308
202,1,5,32337
203,1,5,32381
204,1,5,32428
205,1,5,32395
206,1,5,32376
207,1,5,32346
208,1,5,32318
209,1,5,32328
210,1,5,32328
211,1,5,32326
212,1,5,32328
213,1,5,32371
214,1,5,32377
215,1,5,32377
216,1,5,32467
217,1,5,32493
218,1,5,32367
219,1,5,32349
220,1,5,32390
221,1,5,32390
222,1,5,32435
223,1,5,32525
224,1,5,32532
225,1,5,32553
226,1,5,32570
227,1,5,32600
228,1,5,32597
229,1,5,32588
230,1,5,32553
231,1,5,32602
232,1,5,32662
233,1,5,32690
234,1,5,32693
235,1,5,32720
236,1,5,32763
237,1,5,32810
238,1,5,32799
239,1,5,32799
240,1,5,32790
241,1,5,32785
242,1,5,32770
243,1,5,32783
244,1,5,32825
245,1,5,32850
246,1,5,32891
247,1,5,32888
248,1,5,32912
249,1,5,32928
250,1,5,32938
251,1,5,32938
252,1,5,32941
253,1,5,32943
254,4,5,33665
255,4,5,33645
256,4,5,33619
257,4,5,33588
258,4,5,33511
259,4,5,33474
260,4,5,33447
261,4,5,33408
262,4,5,33350
263,4,5,33350
264,4,5,33350
265,4,5,33343
266,4,5,33342
267,4,5,33298
268,4,5,33256
269,4,5,33276
270,4,5,33284
271,4,5,33284
272,4,5,33244
273,4,5,33222
274,4,5,33198
275,4,5,33198
276,4,5,33194
277,4,5,33194
278,4,5,33178
279,4,5,33151
280,4,5,33144
281,4,5,33131
282,4,5,33144
283,4,5,33143
284,4,5,33125
285,4,5,33061
286,4,5,33032
287,4,5,33029
288,4,5,33024
289,4,5,32986
290,4,5,32949
291,4,5,32919
292,4,5,32924
293,4,5,32890
294,4,5,32874
295,4,5,32874
296,4,5,32878
297,4,5,32868
298,4,5,32848
299,4,5,32830
300,4,5,32811
301,4,5,32822
302,4,5,32833
303,4,5,32792
304,4,5,32742
305,4,5,32697
306,4,5,32678
307,4,5,32678
308,4,5,32638
309,4,5,32628
310,4,5,32589
311,4,5,32558
312,4,5,32558
313,4,5,32565
314,4,5,32565
315,4,5,32542
316,4,5,32482
317,4,5,32365
318,4,5,32346
319,4,5,32303
320,4,5,32301
321,4,5,32301
322,4,5,32301
323,4,5,32301
324,4,5,32324
325,4,5,32384
326,4,5,32352
327,4,5,32290
328,4,5,32253
329,4,5,32208
330,4,5,32144
331,4,5,32127
332,4,5,32108
333,4,5,32058
334,4,5,32033
335,4,5,31994
336,4,5,31987
337,4,5,31978
338,4,5,31943
339,4,5,31878
340,4,5,31849
341,4,5,31812
342,4,5,31792
343,4,5,31782
344,4,5,31743
345,4,5,31727
346,4,5,31697
347,4,5,31702
348,4,5,31769
349,4,5,31769
350,4,5,31752
351,4,5,31752
352,4,5,31720
353,4,5,31728
354,4,5,31732
355,4,5,31818
356,4,5,31857
357,4,5,31818
358,4,5,31800
359,4,5,31775
360,4,5,31771
361,4,5,31734
362,4,5,31723
363,4,5,31723
364,4,5,31730
365,4,5,31730
366,4,5,31708
367,4,5,31674
