Site,Date,CO2.water_umol.L,CO2.water.ppm,CH4.water_umol.L,CH4.water.ppm,WTE,distance.from.stream,qL_m2.sec,well_types,Temp,CO2_molL,CO2_flux,CH4_molL,CH4_flux
5GW1,2025-01-30T00:00:00Z,634.1772324779497,13308.43274092075,0.10237052548581414,2.1482815580706633,4.579000000000002,4.2672,5.9112568878031105e-6,RW,13,6.341772324779497e-4,6.014320421875129,1.0237052548581414e-7,9.708471236372045e-4
5GW1,2025-03-12T00:00:00Z,-12.200004537483323,-281.71136762966046,-0.01998687627662185,-0.46151870134414313,4.539000000000002,4.2672,1.138535781196094e-5,RW,16.3,-1.2200004537483323e-5,-0.3044202886405887,-1.9986876276621852e-8,-4.987219985418203e-4
5GW2,2024-12-09T00:00:00Z,1025.8394145803509,24166.364084484063,5.704018997798442,134.37327313261858,4.1404999999999985,2.1336,3.485996300937013e-6,RW,17,0.001025839414580351,2.7043545083635654,5.704018997798441e-6,0.015037138633241114
5GW2,2025-01-10T00:00:00Z,1120.288867925594,25063.24565291822,20.20893418700653,452.1168570124916,3.7429999999999986,2.1336,4.511593448978033e-6,RW,15.2,0.0011202888679255941,4.091208545377192,2.020893418700653e-5,0.07380146907282993
5GW2,2025-01-30T00:00:00Z,506.9662741415568,10607.7176451282,0.2312541800317313,4.8387420843448306,3.9379999999999984,2.1336,5.9112568878031105e-6,RW,12.9,5.069662741415569e-4,4.807895111367824,2.312541800317313e-7,0.00219313571408792
5GW2,2025-03-12T00:00:00Z,428.77014862411056,9872.437913919992,0.40026281829708577,9.21605628462917,4.227999999999998,2.1336,1.138535781196094e-5,RW,16.2,4.2877014862411055e-4,10.698875726118827,4.0026281829708576e-7,0.009987547324570896
5GW2,2025-04-17T00:00:00Z,84.99167581966995,1973.818499492892,0.2560087499217806,5.945462326214222,4.157999999999999,2.1336,1.016943918364715e-6,RW,16.5,8.499167581966995e-5,0.07341502751357518,2.560087499217806e-7,2.2113800249216566e-4
5GW2,2025-10-10T00:00:00Z,NA,NA,NA,NA,3.7879999999999985,2.1336,NA,RW,23.3,NA,NA,NA,NA
5GW3,2024-11-01T00:00:00Z,NA,NA,NA,NA,6.077999999999999,1.2192,3.731327954257712e-6,RW,21.3,NA,NA,NA,NA
5GW3,2024-12-09T00:00:00Z,2998.5951398878115,68254.46184604995,-0.29470396891089995,-6.708094912293188,6.647999999999999,1.2192,3.485996300937013e-6,RW,15.8,0.0029985951398878116,7.905003619528509,-2.947039689108999e-7,-7.769091298591383e-4
5GW3,2025-01-10T00:00:00Z,2537.786370694346,60641.05779043898,0.01516366781303053,0.36233974095834354,6.322999999999999,1.2192,4.511593448978033e-6,RW,17.5,0.0025377863706943457,9.267800103514068,1.516366781303053e-8,5.5376545382268236e-5
5GW3,2025-01-30T00:00:00Z,2041.1480271807905,43975.553296544625,16.89248307566098,363.9404295585224,6.972999999999999,1.2192,5.9112568878031105e-6,RW,13.9,0.0020411480271807906,19.357551225824555,1.689248307566098e-5,0.16020254391844682
5GW3,2025-03-12T00:00:00Z,9.532164828069108,207.76921354585744,-0.01153406861659415,-0.2514039998969633,7.254999999999999,1.2192,1.138535781196094e-5,RW,14.3,9.532164828069108e-6,0.2378510892692717,-1.1534068616594151e-8,-2.878035402918183e-4
5GW3,2025-04-17T00:00:00Z,885.8185282651825,21836.217558857028,5.9445939298419015,146.53954755869466,6.147999999999999,1.2192,1.016943918364715e-6,RW,18.6,8.858185282651825e-4,0.7651618937671582,5.944593929841902e-6,0.005134885536818328
5GW3,2025-10-10T00:00:00Z,NA,NA,NA,NA,6.667999999999999,1.2192,NA,RW,23.3,NA,NA,NA,NA
5GW4,2024-11-01T00:00:00Z,NA,NA,NA,NA,3.0450000000000026,0.3048,3.731327954257712e-6,RW,22.3,NA,NA,NA,NA
5GW4,2024-12-09T00:00:00Z,1791.2552593702387,42802.50495284152,6.069931257128015,145.04256796319,3.8950000000000022,0.3048,3.485996300937013e-6,RW,17.5,0.0017912552593702387,4.722171099547298,6.069931257128015e-6,0.01600176960190811
5GW4,2025-01-10T00:00:00Z,2448.142814836114,56854.85702831373,7.095760030765171,164.78957829238547,4.4250000000000025,0.3048,4.511593448978033e-6,RW,16.5,0.0024481428148361143,8.940428751119663,7.095760030765171e-6,0.02591316838447821
5GW4,2025-01-30T00:00:00Z,1732.8339505306828,39329.76400683788,3.0338775235732407,68.85927355661681,4.070000000000002,0.3048,5.9112568878031105e-6,RW,15.7,0.0017328339505306828,16.43360575351088,3.0338775235732407e-6,0.028772258941239928
5GW4,2025-03-12T00:00:00Z,11.815873376676723,279.94468409695094,0.01397670689116347,0.33113970255349023,4.236000000000002,0.3048,1.138535781196094e-5,RW,17.2,1.1815873376676723e-5,0.29483526607036664,1.397670689116347e-8,3.487534068516493e-4
5GW4,2025-04-17T00:00:00Z,1536.9175359035069,37993.32837855974,5.574921722510794,137.81470166101136,3.615000000000003,0.3048,1.016943918364715e-6,RW,18.7,0.001536917535903507,1.3275752254121196,5.574921722510794e-6,0.004815566085701725
5GW4,2025-10-10T00:00:00Z,NA,NA,NA,NA,3.9250000000000025,0.3048,NA,RW,23.2,NA,NA,NA,NA
5GW5,2024-11-01T00:00:00Z,NA,NA,NA,NA,3.4940000000000007,4.8768,3.731327954257712e-6,RW,21.9,NA,NA,NA,NA
