OID_,Join_Count,distance,TARGET_FID,ORIG_FID,arcid,grid_code,from_node,to_node,ID,LineID,Fill_DEM_Cul1,NEAR_FID,NEAR_DIST,GW,Lat,Lon,Stream
1,1,8.013137238,1,1,,,,,253,5,31433,0,0,4,29.86231411,-82.28329421,5
2,1,6.032920361,2,1,,,,,253,5,31411,0,0,4,29.86231411,-82.28329421,5
3,1,4.072086414,3,1,,,,,253,5,31330,0,0,4,29.86231411,-82.28329421,5
4,1,2.183494325,4,1,,,,,253,5,31325,0,0,4,29.86231411,-82.28329421,5
5,1,0.976425707,5,1,,,,,253,5,31325,0,0,4,29.86231411,-82.28329421,5
6,1,2.266973057,6,1,,,,,253,5,31325,0,0,4,29.86231411,-82.28329421,5
7,1,4.162322252,7,1,,,,,253,5,31420,0,0,4,29.86231411,-82.28329421,5
8,1,4.307769575,8,1,,,,,253,5,31517,0,0,5,29.86227684,-82.28319925,5
9,1,2.565908146,9,1,,,,,253,5,31581,0,0,5,29.86227684,-82.28319925,5
10,1,1.615825024,10,1,,,,,253,5,31517,0,0,5,29.86227684,-82.28319925,5
11,1,2.576411535,11,1,,,,,253,5,31590,0,0,5,29.86227684,-82.28319925,5
12,1,4.320289606,12,1,,,,,253,5,31539,0,0,5,29.86227684,-82.28319925,5
13,1,6.220282001,13,1,,,,,253,5,31657,0,0,5,29.86227684,-82.28319925,5
14,1,5.702708856,14,1,,,,,253,5,31736,0,0,6,29.86225489,-82.28305791,5
15,1,3.741868347,15,1,,,,,253,5,31838,0,0,6,29.86225489,-82.28305791,5
16,1,1.86608391,16,1,,,,,253,5,31883,0,0,6,29.86225489,-82.28305791,5
17,1,0.981305046,17,1,,,,,253,5,31887,0,0,6,29.86225489,-82.28305791,5
18,1,2.538434564,18,1,,,,,253,5,31964,0,0,6,29.86225489,-82.28305791,5
19,1,4.463668947,19,1,,,,,253,5,31955,0,0,6,29.86225489,-82.28305791,5
20,1,6.43467411,20,1,,,,,253,5,31967,0,0,6,29.86225489,-82.28305791,5
21,1,8.419365851,21,1,,,,,253,5,32036,0,0,6,29.86225489,-82.28305791,5
22,1,7.486482919,22,1,,,,,253,5,32048,0,0,8,29.86250524,-82.28290828,5
23,1,5.486482918,23,1,,,,,253,5,32119,0,0,8,29.86250524,-82.28290828,5
24,1,3.486482917,24,1,,,,,253,5,32106,0,0,8,29.86250524,-82.28290828,5
25,1,1.48648292,25,1,,,,,253,5,32115,0,0,8,29.86250524,-82.28290828,5
26,1,0.51351708,26,1,,,,,253,5,32185,0,0,8,29.86250524,-82.28290828,5
27,1,2.51351708,27,1,,,,,253,5,32180,0,0,8,29.86250524,-82.28290828,5
28,1,4.513517081,28,1,,,,,253,5,32180,0,0,8,29.86250524,-82.28290828,5
29,1,6.513517081,29,1,,,,,253,5,32180,0,0,8,29.86250524,-82.28290828,5
30,1,8.513517082,30,1,,,,,253,5,32180,0,0,8,29.86250524,-82.28290828,5
