core_id,type,geom,core_z,core_est_med_wtd,core_est_p75_wtd,dist_threshold,n_wells,avg_well_dist,mean_well_z,wells_core_z_diff,wells_median_wtd,wells_p75_wtd
5a___Azade_soil_core___1,Azade_soil_core,POINT (377552.2594727121 3307459.827655018),45.15949631,-0.60702709,-0.396182145,1000,3,599.329404,44.5571696,0.602326711,-0.004700379,0.206144566
5a___Azade_soil_core___1,Azade_soil_core,POINT (377552.2594727121 3307459.827655018),45.15949631,-1.22804563,-0.883266082,250,1,228.2992602,44.09753418,1.061962128,-0.166083503,0.178696046
5a___Azade_soil_core___2,Azade_soil_core,POINT (377552.2594727121 3307459.827655018),45.15949631,-0.60702709,-0.396182145,1000,3,599.329404,44.5571696,0.602326711,-0.004700379,0.206144566
5a___Azade_soil_core___2,Azade_soil_core,POINT (377552.2594727121 3307459.827655018),45.15949631,-1.22804563,-0.883266082,250,1,228.2992602,44.09753418,1.061962128,-0.166083503,0.178696046
5a___Azade_soil_core___3,Azade_soil_core,POINT (377512.7371061806 3307401.754666875),44.52201843,0.030450785,0.24129573,1000,3,624.8745928,44.5571696,-0.035151164,-0.004700379,0.206144566
5a___Azade_soil_core___3,Azade_soil_core,POINT (377512.7371061806 3307401.754666875),,,,250,0,,,,,
5a___Azade_soil_core___4,Azade_soil_core,POINT (377512.7371061806 3307401.754666875),44.52201843,0.030450785,0.24129573,1000,3,624.8745928,44.5571696,-0.035151164,-0.004700379,0.206144566
5a___Azade_soil_core___4,Azade_soil_core,POINT (377512.7371061806 3307401.754666875),,,,250,0,,,,,
5a___Azade_soil_core___5,Azade_soil_core,POINT (377540.24596986367 3307785.4779769527),45.26675797,-0.38076422,-0.157175417,1000,3,623.0026887,44.95429611,0.312461853,-0.068302367,0.155286436
5a___Azade_soil_core___5,Azade_soil_core,POINT (377540.24596986367 3307785.4779769527),45.26675797,-1.335307288,-0.99052774,250,1,105.6449919,44.09753418,1.169223785,-0.166083503,0.178696046
5a___Azade_soil_core___6,Azade_soil_core,POINT (377540.24596986367 3307785.4779769527),45.26675797,-0.38076422,-0.157175417,1000,3,623.0026887,44.95429611,0.312461853,-0.068302367,0.155286436
5a___Azade_soil_core___6,Azade_soil_core,POINT (377540.24596986367 3307785.4779769527),45.26675797,-1.335307288,-0.99052774,250,1,105.6449919,44.09753418,1.169223785,-0.166083503,0.178696046
5___Azade_soil_core___7,Azade_soil_core,POINT (376558.66198644484 3305668.3531760243),39.21145248,1.752905517,1.906413894,1000,2,543.7748175,41.21246147,-2.001008987,-0.24810347,-0.094595093
5___Azade_soil_core___7,Azade_soil_core,POINT (376558.66198644484 3305668.3531760243),39.21145248,-0.88697265,-0.760848854,250,1,155.6629715,38.34731293,0.864139557,-0.022833093,0.103290703
5___Azade_soil_core___8,Azade_soil_core,POINT (376558.66198644484 3305668.3531760243),39.21145248,1.752905517,1.906413894,1000,2,543.7748175,41.21246147,-2.001008987,-0.24810347,-0.094595093
5___Azade_soil_core___8,Azade_soil_core,POINT (376558.66198644484 3305668.3531760243),39.21145248,-0.88697265,-0.760848854,250,1,155.6629715,38.34731293,0.864139557,-0.022833093,0.103290703
5___Azade_soil_core___9,Azade_soil_core,POINT (376435.1914873059 3305596.5756077906),38.24864197,0.075837866,0.201961662,1000,1,16.09235597,38.34731293,-0.098670959,-0.022833093,0.103290703
