OID_,Site_ID,person,Lat,Long,RASTERVALU
1,5a,Azade,29.891692899999999,-82.268147999999997,45214
2,5a,Azade,29.891692899999999,-82.268147999999997,45214
3,5a,Azade,29.891165000000001,-82.268550599999998,44541
4,5a,Azade,29.891165000000001,-82.268550599999998,44541
5,5a,Azade,29.894629900000002,-82.268309599999995,45330
6,5a,Azade,29.894629900000002,-82.268309599999995,45330
7,5,Azade,29.875430000000001,-82.278229999999994,39315
8,5,Azade,29.875430000000001,-82.278229999999994,39315
9,5,Azade,29.874770000000002,-82.279499999999999,38698
10,5,Azade,29.874770000000002,-82.279499999999999,38698
11,5,Azade,29.876590000000000,-82.279470000000003,38548
12,5,Azade,29.876590000000000,-82.279470000000003,38548
13,5,Azade,29.876044000000000,-82.279617000000002,38639
14,5,Azade,29.876044000000000,-82.279617000000002,38639
15,5,Azade,29.871030000000001,-82.281801999999999,37311
16,5,Azade,29.871030000000001,-82.281801999999999,37311
17,5,Azade,29.872931000000001,-82.278271000000004,39034
18,5,Azade,29.872931000000001,-82.278271000000004,39034
19,5a,Azade,29.886551000000001,-82.267277000000007,44428
20,5a,Azade,29.886551000000001,-82.267277000000007,44428
21,5a,Azade,29.886935999999999,-82.265820000000005,45166
22,5a,Azade,29.886935999999999,-82.265820000000005,45166
23,5a,Azade,29.889472000000001,-82.265641000000002,45333
24,5a,Azade,29.889472000000001,-82.265641000000002,45333
25,5a,Azade,29.885836000000001,-82.266913000000002,44934
26,5a,Azade,29.885836000000001,-82.266913000000002,44934
27,6a,Azade,29.958123499999999,-82.229975100000004,45959
28,6a,Azade,29.958123499999999,-82.229975100000004,45959
29,6a,Azade,29.959653700000000,-82.230361299999998,45585
30,6a,Azade,29.959653700000000,-82.230361299999998,45585
31,6a,Azade,29.958736099999999,-82.229321299999995,45212
32,6a,Azade,29.958736099999999,-82.229321299999995,45212
33,9,Azade,29.912437600000001,-82.243859900000004,44272
34,9,Azade,29.912437600000001,-82.243859900000004,44272
35,9,Azade,29.914216499999998,-82.232250300000004,44305
36,9,Azade,29.914216499999998,-82.232250300000004,44305
37,9,Azade,29.911460300000002,-82.240609100000000,44128
38,9,Azade,29.911460300000002,-82.240609100000000,44128
39,14,Azade,29.919662299999999,-82.273174699999998,46213
40,14,Azade,29.919662299999999,-82.273174699999998,46213
41,14,Azade,29.924340399999998,-82.276668299999997,46945
42,14,Azade,29.924340399999998,-82.276668299999997,46945
43,14,Azade,29.923247000000000,-82.276688100000001,46724
44,14,Azade,29.923247000000000,-82.276688100000001,46724
45,14,Azade,29.928983500000001,-82.273330999999999,47030
46,14,Azade,29.928983500000001,-82.273330999999999,47030
47,3,Azade,29.999750700000000,-82.212703300000001,45055
48,3,Azade,29.999750700000000,-82.212703300000001,45055
49,3,Azade,29.990563399999999,-82.207987700000004,44356
50,3,Azade,29.990563399999999,-82.207987700000004,44356
51,7,Azade,29.975237400000001,-82.227624800000001,45485
52,7,Azade,29.975237400000001,-82.227624800000001,45485
53,7,Azade,29.976559699999999,-82.228533400000003,46137
54,7,Azade,29.976559699999999,-82.228533400000003,46137
55,7,Azade,29.975919000000001,-82.226944300000000,46220
56,7,Azade,29.975919000000001,-82.226944300000000,46220
57,7,Azade,29.973402300000000,-82.228518600000001,45804
58,7,Azade,29.973402300000000,-82.228518600000001,45804
59,7,Azade,29.968094900000001,-82.230861200000007,45790
60,7,Azade,29.968094900000001,-82.230861200000007,45790
61,14,Azade,29.909205400000001,-82.276344399999999,46056
62,14,Azade,29.909205400000001,-82.276344399999999,46056
63,14,Azade,29.911385299999999,-82.280011700000003,46353
64,14,Azade,29.911385299999999,-82.280011700000003,46353
65,14,Azade,29.908071100000001,-82.289184899999995,45293
66,14,Azade,29.908071100000001,-82.289184899999995,45293
67,14,Azade,29.910250000000001,-82.290400000000005,44459
68,14,Azade,29.910250000000001,-82.290400000000005,44459
69,14,Azade,29.906367100000001,-82.298755000000000,43800
70,14,Azade,29.906367100000001,-82.298755000000000,43800
71,14,Azade,29.911031300000001,-82.275604200000004,46094
72,14,Azade,29.911031300000001,-82.275604200000004,46094
73,NA,Azade,29.909205400000001,-82.276344399999999,46056
74,NA,Azade,29.909205400000001,-82.276344399999999,46056
75,NA,Azade,29.885603400000001,-82.166946899999999,45546
76,NA,Azade,29.885603400000001,-82.166946899999999,45546
77,NA,Azade,29.885533100000000,-82.168524300000001,45905
78,NA,Azade,29.885533100000000,-82.168524300000001,45905
79,NA,Azade,29.879819600000001,-82.165132999999997,45735
80,NA,Azade,29.879819600000001,-82.165132999999997,45735
81,NA,Azade,29.879574600000002,-82.154310300000006,44764
82,NA,Azade,29.879574600000002,-82.154310300000006,44764
83,NA,Azade,29.879437400000000,-82.153665599999997,44202
84,NA,Azade,29.879437400000000,-82.153665599999997,44202
85,NA,Azade,29.881744399999999,-82.164502400000003,45930
86,NA,Azade,29.881744399999999,-82.164502400000003,45930
87,15,Azade,29.895420699999999,-82.292852400000001,46290
88,15,Azade,29.895420699999999,-82.292852400000001,46290
89,15,Azade,29.893540099999999,-82.290953099999996,46159
90,15,Azade,29.893540099999999,-82.290953099999996,46159
91,15,Azade,29.893004399999999,-82.293948799999995,44722
92,15,Azade,29.893004399999999,-82.293948799999995,44722
93,15,Azade,29.893996800000000,-82.294273000000004,45547
94,15,Azade,29.893996800000000,-82.294273000000004,45547
95,15,Azade,29.893857300000001,-82.297468499999994,44640
96,15,Azade,29.893857300000001,-82.297468499999994,44640
97,15,Azade,29.896792999999999,-82.297685099999995,46301
98,15,Azade,29.896792999999999,-82.297685099999995,46301
99,15,Azade,29.895789300000001,-82.308473599999999,43581
100,15,Azade,29.895789300000001,-82.308473599999999,43581
101,15,Azade,29.894082500000000,-82.284486299999998,45582
102,15,Azade,29.894082500000000,-82.284486299999998,45582
103,13,Azade,29.879685299999998,-82.204101499999993,43443
104,13,Azade,29.879685299999998,-82.204101499999993,43443
105,13,Azade,29.882286600000000,-82.203189499999993,42936
106,13,Azade,29.882286600000000,-82.203189499999993,42936
107,13,Azade,29.881434200000001,-82.190998600000000,44607
108,13,Azade,29.881434200000001,-82.190998600000000,44607
109,13,Azade,29.878120400000000,-82.189703399999999,43493
110,13,Azade,29.878120400000000,-82.189703399999999,43493
111,13,Azade,29.893654999999999,-82.194322499999998,43613
112,13,Azade,29.893654999999999,-82.194322499999998,43613
113,13,Azade,29.891068600000001,-82.191715099999996,44693
114,13,Azade,29.891068600000001,-82.191715099999996,44693
115,13,Azade,29.894626899999999,-82.183853200000001,45713
116,13,Azade,29.894626899999999,-82.183853200000001,45713
117,14,Azade,29.939694899999999,-82.247748400000006,46379
118,14,Azade,29.939694899999999,-82.247748400000006,46379
119,14,Azade,29.946238699999999,-82.245445700000005,46702
120,14,Azade,29.946238699999999,-82.245445700000005,46702
121,14,Azade,29.945666899999999,-82.250336099999998,47222
122,14,Azade,29.945666899999999,-82.250336099999998,47222
123,14,Azade,29.946414099999998,-82.264567200000002,47070
124,14,Azade,29.946414099999998,-82.264567200000002,47070
125,14,Azade,29.929841499999998,-82.226466400000007,44740
126,14,Azade,29.929841499999998,-82.226466400000007,44740
127,14,Azade,29.933454900000001,-82.227876600000002,44802
128,14,Azade,29.933454900000001,-82.227876600000002,44802
129,14,Azade,29.938735500000000,-82.247164699999999,46318
130,14,Azade,29.938735500000000,-82.247164699999999,46318
131,3,Azade,29.972252900000001,-82.184295100000000,44288
132,3,Azade,29.972252900000001,-82.184295100000000,44288
133,3,Azade,29.979282099999999,-82.188541700000002,44083
134,3,Azade,29.979282099999999,-82.188541700000002,44083
135,3,Azade,29.980145000000000,-82.195367599999997,44074
136,3,Azade,29.980145000000000,-82.195367599999997,44074
137,3,Azade,29.973916200000001,-82.195308199999999,44633
138,3,Azade,29.973916200000001,-82.195308199999999,44633
139,3,Azade,30.006044299999999,-82.217043500000003,44133
140,3,Azade,30.006044299999999,-82.217043500000003,44133
141,3,Azade,30.006974300000000,-82.217088399999994,44156
142,3,Azade,30.006974300000000,-82.217088399999994,44156
143,3,Azade,30.009011000000001,-82.217610100000002,43743
144,3,Azade,30.009011000000001,-82.217610100000002,43743
145,3,Azade,30.010404600000001,-82.218546500000002,43516
146,3,Azade,30.010404600000001,-82.218546500000002,43516
147,3,Azade,30.004466000000001,-82.220866000000001,44707
148,3,Azade,30.004466000000001,-82.220866000000001,44707
149,NA,Azade,29.907127100000000,-82.213666300000000,41668
150,NA,Azade,29.907127100000000,-82.213666300000000,41668
151,NA,Azade,29.900738900000000,-82.212619900000007,42692
152,NA,Azade,29.900738900000000,-82.212619900000007,42692
153,NA,Azade,29.892546299999999,-82.210948799999997,42167
154,NA,Azade,29.892546299999999,-82.210948799999997,42167
155,NA,Azade,30.010404600000001,-82.218546500000002,43516
156,NA,Azade,30.010404600000001,-82.218546500000002,43516
157,NA,Azade,29.912433799999999,-82.213775900000002,43230
158,NA,Azade,29.912433799999999,-82.213775900000002,43230
159,NA,Azade,29.896928400000000,-82.219860100000005,39284
160,NA,Azade,29.896928400000000,-82.219860100000005,39284
161,NA,Azade,29.906949999999998,-82.212199999999996,42377
162,NA,Azade,29.906949999999998,-82.212199999999996,42377
163,NA,Azade,29.872807800000000,-82.243042500000001,46674
164,NA,Azade,29.872807800000000,-82.243042500000001,46674
165,NA,Azade,29.868511900000001,-82.245273100000006,46391
