Site,Sample,Depth,Average,SOC ,Hyrdo
6_300,U,U,11.98512126,6.951370331,65.879204
6_300,U,L,1.125863577,0.653000875,65.879204
6_300,S1,U,11.14558155,6.464437299,68.84673572
6_300,S1,L,0.656895623,0.380999461,68.84673572
6_300,S2,U,9.803717747,5.686156293,71.13929943
6_300,S3,U,26.53768535,15.3918575,71.6047946
6_300,S3,L,8.392938166,4.867904136,71.6047946
6_20,U,U,11.98512126,6.951370331,0.005820044
6_20,U,L,1.125863577,0.653000875,0.005820044
6_20,S1,U,11.14558155,6.464437299,48.60318938
6_20,S1,L,0.656895623,0.380999461,48.60318938
6_20,S2,U,9.803717747,5.686156293,64.97
6_20,S3,U,26.53768535,15.3918575,66.13
6_20,S3,L,8.392938166,4.867904136,66.13
14_115,U,U,1.268114148,0.735506206,46.05
14_115,U,L,1.175246564,0.681643007,46.05
14_115,S1,U,2.516590389,1.459622426,50.58
14_115,S1,L,2.222176288,1.288862247,50.58
14_115,S2,U,2.108739739,1.223069049,52.72
14_115,S2,L,0.997634926,0.578628257,52.72
14_115,S3,U,1.078422061,0.625484795,54.32
14_115,S3,L,1.236808866,0.717349142,54.32
14_500,U,U,1.849959639,1.072976591,61.64
14_500,U,L,1.686438954,0.978134593,61.64
14_500,S1,U,0.240395782,0.139429554,64.23
14_500,S1,L,0.991801935,0.575245122,64.23
14_500,S2,U,5.294724765,3.070940364,72.6
14_500,S2,L,1.293378753,0.750159677,72.6
14_500,S3,U,1.575944951,0.914048072,81.71
14_500,S3,L,0.654630923,0.379685935,81.71
14/9_168,S1,U,1.542954484,0.894913601,75.57
14/9_168,S1,L,0.716385572,0.415503632,75.57
14/9_168,S2,U,6.242462752,3.620628396,84.17
14/9_168,S2,L,2.126451781,1.233342033,84.17
14/9_168,S3,U,25.42103614,14.74420096,84.72
14/9_168,S3,L,24.21653318,14.04558924,84.72
14/9_527,U,U,2.816847016,1.633771269,0
14/9_527,S1,U,47.70042277,27.66624521,93.21
14/9_527,S1,L,5.700230857,3.306133897,93.21
14/9_527,S2,U,13.5491656,7.858516048,94.83
14/9_527,S2,L,4.381479583,2.541258158,94.83
14/9_601,S1,U,3.337989102,1.936033679,94.86
14/9_601,S1,L,0.975659889,0.565882736,95.6
14/9_601,S2,U,11.17547545,6.481775761,95.6
14/9_601,S2,L,1.858135904,1.077718824,99.69
14/9_601,S3,U,1.838853611,1.066535094,100
15_4,U,U,5.140186916,,6.97
15_4,U,L,0.8492569,0.450106157,6.97
15_4,S1,U,9.943181818,5.269886364,20.66
15_4,S1,L,1.333333333,0.706666666,20.66
15_4,S2,U,7.967032967,4.222527473,54.74
15_4,S2,L,4.210526316,2.231578947,54.74
15_4,S3,U,7.124010554,3.775725594,62.5
15_4,S3,L,2.678571429,1.419642857,62.5
15_409,U,U,12.84153005,6.806010927,26.09
15_409,U,L,5.04587156,2.674311927,26.09
15_409,S1,U,2.352941176,1.247058823,53.7
15_409,S1,L,0.229357798,0.121559633,53.7
15_409,S2,U,6.989247312,3.704301075,69.13
15_409,S2,L,0.456621005,0.242009132,69.13
15_409,S3,U,4.644808743,2.461748634,72.23
15_409,S3,L,5.420054201,2.872628727,72.23
15_268,U,U,13.12335958,6.955380577,0
15_268,U,L,0.410677618,0.217659138,0
15_268,S1,U,29.76588629,15.77591973,5.48
15_268,S1,L,1.777777778,0.942222222,5.48
15_268,S2,U,42.8,22.684,21.64
15_268,S2,L,5.37084399,2.846547315,21.64
15_268,S3,U,30.87719298,16.36491228,35.71
15_268,S3,L,4.819277108,2.554216867,35.71
13_410,U,U,4.534005038,2.40302267,8.06
13_410,U,L,0.717703349,0.380382775,8.06
13_410,S1,U,9.493670886,5.03164557,8.4
13_410,S1,L,4.177545692,2.214099217,8.4
13_410,S2,U,42.44186047,22.49418605,45.45
13_410,S2,L,7.602339181,4.029239766,45.45
13_410,S3,U,40,21.2,97.16
13_410,S3,L,16.73469388,8.869387756,97.16
13_274,U,U,0.245700246,0.13022113,56.32
13_274,U,L,0.491400491,0.26044226,56.32
13_274,S1,U,1.80878553,0.958656331,94.5
13_274,S2,U,3.804347826,2.016304348,95.92
13_274,S2,L,0.233100233,0.123543124,95.92
13_274,S3,U,3.693181818,1.957386364,98.36
13_274,S3,L,6.462585034,3.425170068,98.36
9_332,U,U,3.942120086,2.089323646,0
9_332,U,L,3.01500328,1.597951738,0
9_332,S1,U,17.05347692,9.038342768,1.448243115
9_332,S1,L,5.195385872,2.753554512,39.38746439
9_332,S2,U,48.16873666,25.52943043,39.38746439
9_332,S3,U,50.53423661,26.7831454,49.13936372
9_332,S3,L,2.767515972,1.466783465,49.13936372
3_34,U,U,1.935300814,1.025709431,0
3_34,U,L,1.77908658,0.942915887,0
3_34,S1,U,0.490227492,0.259820571,7.938381964
3_34,S1,L,0.748889163,0.396911256,7.938381964
3_34,S2,U,0.393832237,0.208731086,16.74256479
3_34,S2,L,0.564406742,0.299135573,16.74256479
3_34,S3,U,1.551089058,0.822077201,18.06937651
3_34,S3,L,1.404752311,0.744518725,18.06937651
3_311,U,U,1.818825392,0.963977458,0.016799194
3_311,U,L,1.380550771,0.731691909,0.016799194
3_311,S1,U,5.156486849,2.73293803,47.84410348
3_311,S1,L,0.495389768,0.262556577,47.84410348
3_311,S2,U,13.54294439,7.177760527,53.43263523
3_311,S2,L,12.36655084,6.554271945,53.43263523
3_311,S3,U,20.75820789,11.00185018,76.59872326
3_311,S3,L,6.69719077,3.549511108,76.59872326
5_161,U,U,2.917160424,1.546095025,0
5_161,U,L,0.550554749,0.291794017,0
5_161,S1,U,22.6700721,12.01513821,25.86711712
5_161,S2,U,19.4397059,10.30304413,36.69481982
5_161,S3,U,7.014267095,3.71756156,77.7027027
9_609,U,U,4.321425537,2.290355535,0
9_609,U,L,3.416020244,1.810490729,0
9_609,S1,U,14.10045976,7.473243673,0.04190613
9_609,S1,L,0.985841827,0.522496169,0.04190613
9_609,S2,U,15.5302431,8.231028843,22.7191092
9_609,S2,L,1.041863451,0.552187629,22.7191092
9_609,S3,U,6.963664533,3.690742202,43.04956897
9_609,S3,L,1.018826556,0.539978075,43.04956897
