Site Location,Wetland Name,Soil Core ID,sample date,Soil sample depth increment (cm),soil sample average depth increment of the 5cm slice (cm),Water depth at time of sampling (cm),Soil surface elevation at soil coring point relative to soil surface elevation at well (cm),Sample depth-increment elevation relative to soil surface elevation at well (cm),proximity to sensor within sampling transect (sensor 1 being lowest elevation in wetland with most inundation and sensor 5 being highest in elevation leading out of the wetland),Average soil moisture content ,Average LOI SOM,dry soil mass of entire sample (g),Bulk density (g soil /cm^3),Total OM storage (kg OM / m^2)
Bradford,15_409,2,46010,0_5,2.5,dry,0,-2.5,well and 2nd sensor,67.79935194,67.15728716,40.95600426,0.200589211,6.735513629
Bradford,15_409,2,46010,5_10,7.5,dry,0,-7.5,well and 2nd sensor,21.09452736,7.316371062,206.3772637,1.010768831,3.697579911
Bradford,15_409,2,46010,10_15,12.5,dry,0,-12.5,well and 2nd sensor,12.5748503,3.538947711,308.06,1.508777859,2.669742975
Bradford,15_409,2,46010,15_20,17.5,dry,0,-17.5,well and 2nd sensor,17.63213573,6.367847508,340.0639644,1.11034859,3.535265251
Bradford,15_409,2,46010,20_25,22.5,dry,0,-22.5,well and 2nd sensor,13.60943452,3.982299117,446.1727145,1.456806061,2.900718745
Bradford,15_409,2,46010,25_30,27.5,dry,0,-27.5,well and 2nd sensor,14.71324549,4.912287421,149.6100248,1.465482651,3.599435997
Bradford,15_409,2,46010,30_35,32.5,dry,0,-32.5,well and 2nd sensor,13.92241856,4.115774559,163.5990513,1.602510071,3.297785091
Bradford,15_409,2,46010,35_40,37.5,dry,0,-37.5,well and 2nd sensor,12.35,3.536999675,287.605945,1.408600538,2.491109823
Bradford,15_409,2,46010,40_45,42.5,dry,0,-42.5,well and 2nd sensor,9.730538922,2.488039564,277.876482,1.360948788,1.693047214
Bradford,15_409,2,46010,45_50,47.5,dry,0,-47.5,well and 2nd sensor,8.141858142,1.305057482,136.34504,1.335547474,0.871483112
Bradford,15_409,2,46010,50_55,52.5,dry,0,-52.5,well and 2nd sensor,7.59251497,0.648651681,170.4178839,1.669302928,0.541398075
Bradford,15_409,3,46010,0_5,2.5,dry,2,-0.5,3rd sensor,30.9905443,14.68698349,125.6041103,0.615168151,4.517482238
Bradford,15_409,3,46010,5_10,7.5,dry,2,-5.5,3rd sensor,11.71501618,4.235088713,292.8766053,1.434414521,3.037436374
Bradford,15_409,3,46010,10_15,12.5,dry,2,-10.5,3rd sensor,10.66263361,3.625303591,329.6906169,1.614717597,2.926920752
Bradford,15_409,3,46010,15_20,17.5,dry,2,-15.5,3rd sensor,8.736839482,2.73511333,510.845541,1.667970398,2.281044035
Bradford,15_409,3,46010,20_25,22.5,dry,2,-20.5,3rd sensor,6.68996672,1.658555577,447.5055886,1.461158051,1.211705917
Bradford,15_409,3,46010,25_30,27.5,dry,2,-25.5,3rd sensor,5.331316807,0.631578947,316.903417,1.552090044,0.490133698
Bradford,15_409,3,46010,30_35,32.5,dry,2,-30.5,3rd sensor,4.938040048,-0.00176174,315.2254592,1.543871951,-0.001359951
Bradford,15_409,3,46010,35_40,37.5,dry,2,-35.5,3rd sensor,4.930278884,0.314301457,286.1028187,1.401238714,0.220205685
Bradford,15_409,3,46010,40_45,42.5,dry,2,-40.5,3rd sensor,5.047452547,0.315789474,315.071543,1.543118119,0.243650229
Bradford,15_409,3,46010,45_50,47.5,dry,2,-45.5,3rd sensor,5.735587648,0.264494571,134.5341693,1.317809361,0.174276711
Bradford,15_409,4,46010,0_5,2.5,dry,21,18.5,between 3rd and 4th sensor,50.84959905,37.00438166,41.81716112,0.204806878,3.789375938
Bradford,15_409,4,46010,5_10,7.5,dry,21,13.5,between 3rd and 4th sensor,49.37487512,33.09431902,60.70964975,0.297336153,4.920068755
Bradford,15_409,4,46010,10_15,12.5,dry,21,8.5,between 3rd and 4th sensor,15.14295704,4.774934784,227.3320181,1.113398414,2.658202408
Bradford,15_409,4,46010,15_20,17.5,dry,21,3.5,between 3rd and 4th sensor,6.393606394,1.601794173,424.2428971,1.385202644,1.109404762
Bradford,15_409,4,46010,20_25,22.5,dry,21,-1.5,between 3rd and 4th sensor,3.792518548,0.362964493,465.4517953,1.519754513,0.275808463
Bradford,15_409,4,46010,25_30,27.5,dry,21,-6.5,between 3rd and 4th sensor,4.595409182,0.575862039,463.742635,1.514173905,0.435977636
Bradford,15_409,4,46010,30_35,32.5,dry,21,-11.5,between 3rd and 4th sensor,4.925373134,0.627998423,166.2189701,1.628173095,0.511245068
Bradford,15_409,4,46010,35_40,37.5,dry,21,-16.5,between 3rd and 4th sensor,5.682857393,0.951374207,270.3506576,1.324089743,0.629852415
Bradford,15_409,4,46010,40_45,42.5,dry,21,-21.5,between 3rd and 4th sensor,4.885249421,0.419287212,318.3205358,1.559030631,0.326840803
Bradford,15_409,4,46010,45_50,47.5,dry,21,-26.5,between 3rd and 4th sensor,5.239442231,0.315956555,157.1698611,1.539533899,0.243212913
Bradford,15_409,4,46010,50_55,52.5,dry,21,-31.5,between 3rd and 4th sensor,5.691464224,0.211752309,150.4504071,1.473714491,0.156031223
Bradford,15_409,5,46010,0_5,2.5,dry,25,22.5,4th sensor,20.86799304,14.0528376,135.2919923,0.662616251,4.655819288
Bradford,15_409,5,46010,5_10,7.5,dry,25,17.5,4th sensor,14.7134445,8.12995896,203.2378618,0.995393059,4.046252361
Bradford,15_409,5,46010,10_15,12.5,dry,25,12.5,4th sensor,8.923230309,3.448306854,336.3465105,1.647316003,2.840225531
Bradford,15_409,5,46010,15_20,17.5,dry,25,7.5,4th sensor,5.583554008,1.689576078,280.3507531,1.373066964,1.159950548
Bradford,15_409,5,46010,20_25,22.5,dry,25,2.5,4th sensor,5.538579068,1.162742673,291.2717914,1.426554664,0.829357991
Bradford,15_409,5,46010,25_30,27.5,dry,25,-2.5,4th sensor,3.794209782,0.570756089,306.0113775,1.498744371,0.427708738
Bradford,15_409,5,46010,30_35,32.5,dry,25,-7.5,4th sensor,5.577689243,1.213137154,108.0191235,1.05808519,0.641801228
Bradford,15_409,5,46010,35_40,37.5,dry,25,-12.5,4th sensor,5.126954867,0.419727639,139.8238939,1.369624068,0.287434539
Bradford,15_409,5,46010,40_45,42.5,dry,25,-17.5,4th sensor,5.483654206,0.369088684,185.4316188,1.816367725,0.335200386
Bradford,15_409,5,46010,45_50,47.5,dry,25,-22.5,4th sensor,5.838323353,0.370931215,163.4552545,1.601101531,0.296949268
Bradford,15_409,6,46010,0_5,2.5,dry,54,51.5,true upland,17.65556624,21.02455167,70.69269639,0.230819916,2.426442627
Bradford,15_409,6,46010,5_10,7.5,dry,54,46.5,true upland,11.13822355,10.17916277,130.9289414,0.427498297,2.175787372
Bradford,15_409,6,46010,10_15,12.5,dry,54,41.5,true upland,9.775881489,8.127655517,235.4488597,0.768768046,3.124140925
Bradford,15_409,6,46010,15_20,17.5,dry,54,36.5,true upland,12.35,12.16225364,250.11804,0.816664634,4.966241209
Bradford,15_409,6,46010,20_25,22.5,dry,54,31.5,true upland,10.18482515,9.839029828,314.0746849,1.025490555,5.04491608
Bradford,15_409,6,46010,25_30,27.5,dry,54,26.5,true upland,5.197302697,3.268493303,357.5578531,1.167468182,1.907930966
Bradford,6_93,3,46021,0_5,2.5,dry,13,10.5,3rd sensor,32.5168208,43.04881577,26.51414111,0.129857655,2.795109123
Bradford,6_93,3,46021,5_10,7.5,dry,13,5.5,3rd sensor,27.45802102,23.02089612,93.11488422,0.45604647,5.249299209
Bradford,6_93,3,46021,10_15,12.5,dry,13,0.5,3rd sensor,17.33266733,10.33229355,171.4768482,0.839837927,4.338725996
Bradford,6_93,3,46021,15_20,17.5,dry,13,-4.5,3rd sensor,14.27831505,8.270309434,434.1717621,1.063216162,4.396563326
Bradford,6_93,3,46021,20_25,22.5,dry,13,-9.5,3rd sensor,9.84015984,4.599051681,540.7246254,1.324146826,3.044909843
Bradford,6_93,3,46021,25_30,27.5,dry,13,-14.5,3rd sensor,7.185536298,2.956989247,616.5757638,1.50989395,2.232370088
Bradford,6_93,3,46021,30_35,32.5,dry,13,-19.5,3rd sensor,6.826184792,2.459904303,265.7596731,1.301604592,1.600911368
Bradford,6_93,3,46021,35_40,37.5,dry,13,-24.5,3rd sensor,3.942169496,0.83117085,335.1649822,1.641529261,0.682195635
Bradford,6_93,3,46021,40_45,42.5,dry,13,-29.5,3rd sensor,3.591023337,0.775969306,274.9873241,1.34679863,0.522537199
