Site_ID,person,Lat,Long
5a,Azade,29.8916929,-82.268148
5a,Azade,29.8916929,-82.268148
5a,Azade,29.891165,-82.2685506
5a,Azade,29.891165,-82.2685506
5a,Azade,29.8946299,-82.2683096
5a,Azade,29.8946299,-82.2683096
5,Azade,29.87543,-82.27823
5,Azade,29.87543,-82.27823
5,Azade,29.87477,-82.2795
5,Azade,29.87477,-82.2795
5,Azade,29.87659,-82.27947
5,Azade,29.87659,-82.27947
5,Azade,29.876044,-82.279617
5,Azade,29.876044,-82.279617
5,Azade,29.87103,-82.281802
5,Azade,29.87103,-82.281802
5,Azade,29.872931,-82.278271
5,Azade,29.872931,-82.278271
5a,Azade,29.886551,-82.267277000000007
5a,Azade,29.886551,-82.267277000000007
5a,Azade,29.886936,-82.26582
5a,Azade,29.886936,-82.26582
5a,Azade,29.889472,-82.265641
5a,Azade,29.889472,-82.265641
5a,Azade,29.885836,-82.266913
5a,Azade,29.885836,-82.266913
6a,Azade,29.9581235,-82.2299751
6a,Azade,29.9581235,-82.2299751
6a,Azade,29.9596537,-82.2303613
6a,Azade,29.9596537,-82.2303613
6a,Azade,29.9587361,-82.2293213
6a,Azade,29.9587361,-82.2293213
9,Azade,29.9124376,-82.2438599
9,Azade,29.9124376,-82.2438599
9,Azade,29.9142165,-82.2322503
9,Azade,29.9142165,-82.2322503
9,Azade,29.9114603,-82.2406091
9,Azade,29.9114603,-82.2406091
14,Azade,29.9196623,-82.2731747
14,Azade,29.9196623,-82.2731747
14,Azade,29.9243404,-82.2766683
14,Azade,29.9243404,-82.2766683
14,Azade,29.923247,-82.2766881
14,Azade,29.923247,-82.2766881
14,Azade,29.9289835,-82.273331
14,Azade,29.9289835,-82.273331
3,Azade,29.9997507,-82.2127033
3,Azade,29.9997507,-82.2127033
3,Azade,29.9905634,-82.2079877
3,Azade,29.9905634,-82.2079877
7,Azade,29.9752374,-82.2276248
7,Azade,29.9752374,-82.2276248
7,Azade,29.9765597,-82.2285334
7,Azade,29.9765597,-82.2285334
7,Azade,29.975919,-82.2269443
7,Azade,29.975919,-82.2269443
7,Azade,29.9734023,-82.2285186
7,Azade,29.9734023,-82.2285186
7,Azade,29.9680949,-82.2308612
7,Azade,29.9680949,-82.2308612
14,Azade,29.9092054,-82.2763444
14,Azade,29.9092054,-82.2763444
14,Azade,29.9113853,-82.2800117
14,Azade,29.9113853,-82.2800117
14,Azade,29.9080711,-82.2891849
14,Azade,29.9080711,-82.2891849
14,Azade,29.91025,-82.2904
14,Azade,29.91025,-82.2904
14,Azade,29.9063671,-82.298755
14,Azade,29.9063671,-82.298755
14,Azade,29.9110313,-82.2756042
14,Azade,29.9110313,-82.2756042
NA,Azade,29.9092054,-82.2763444
NA,Azade,29.9092054,-82.2763444
NA,Azade,29.8856034,-82.1669469
NA,Azade,29.8856034,-82.1669469
NA,Azade,29.8855331,-82.1685243
NA,Azade,29.8855331,-82.1685243
NA,Azade,29.8798196,-82.165133
NA,Azade,29.8798196,-82.165133
