ID,Q_med,internal_slope,DO_slope,internal_pvalue,DO_pvalue,external_slope,external_pvalue
5,sup,-0.14811710321493368,-0.06978014392287785,0.5371762603174725,0.6171030325389013,-0.06978014392287785,0.6171030325389013
5,inf,0.89598949628744,0.4554645677232862,2.2732213886811952e-4,0.04654726908146436,0.4554645677232862,0.04654726908146436
5a,inf,-0.21299251630325927,0.39060790800924605,0.09596239963083338,0.012528791820857187,0.39060790800924605,0.012528791820857187
5a,sup,0.08652691566912625,0.22508297029368451,0.7027238213922034,0.023521956678133494,0.22508297029368451,0.023521956678133494
15,inf,0.31599593156311123,0.5769976262348516,0.005696231905141987,0.18641402551481645,0.5769976262348516,0.18641402551481645
15,sup,0.07517289535313318,0.34911858457325917,0.2992056728140933,0.09801028666002631,0.34911858457325917,0.09801028666002631
6,inf,0.32876624846990726,0.22839675334521797,3.361614993561174e-5,0.5352262845910217,0.22839675334521797,0.5352262845910217
6,sup,0.3142093736827377,0.2890566450178374,2.5053399206530844e-6,0.13663794964525058,0.2890566450178374,0.13663794964525058
7,inf,0.3849807363226714,0.1441191927232177,3.6131878939363877e-6,0.2667024732043398,0.1441191927232177,0.2667024732043398
7,sup,0.23860470108574203,-0.012526514771789673,2.1494937798329132e-4,0.9369917531427787,-0.012526514771789673,0.9369917531427787
3,sup,0.21067376949262806,-0.03601891581615018,0.09110215786386644,0.858102518343686,-0.03601891581615018,0.858102518343686
3,inf,0.14026702650314501,0.5827072947531045,0.32470786275562524,0.014059084133083816,0.5827072947531045,0.014059084133083816
13,inf,0.5583412967300129,1.6819039463823409,0.13142660694650182,0.001850431871519025,1.6819039463823409,0.001850431871519025
13,sup,-0.01947604355322932,-0.1471701673441403,0.8675502593784076,0.23220623673620364,-0.1471701673441403,0.23220623673620364
9,inf,8.091937592186904,3.124533301534984,0.3016511573373939,0.06140809814555316,3.124533301534984,0.06140809814555316
9,sup,1.0921035698529302,1.0976206069096093,6.013998513387863e-4,0.027462375364694373,1.0976206069096093,0.027462375364694373
