ID,intercept,slope,r2,p,pathway,significance
5,2.5598264614914763,0.29502334238163197,0.048440017086474184,1.7093923136935848e-4,Internal,significant
5a,-2.381850921895519,-0.3928731113814486,0.08373884042194564,0.02757883690660554,Internal,insignificant
15,2.0442208807760016,0.18484491611031428,0.33185071538915073,9.68397917599911e-8,Internal,significant
6,3.8730998364966718,0.4156739441263354,0.6805279480263235,1.7089985571496563e-40,Internal,significant
7,1.3164276783357598,0.12503836331631293,0.15112505167635093,8.124855460455947e-6,Internal,significant
3,0.10224411597014267,-0.047958672036373357,0.006638927239726102,0.263752047481659,Internal,insignificant
13,0.9941614978744734,0.07602147240589902,0.014720409358367886,0.4383251657145585,Internal,insignificant
9,5.238483179167154,0.5860687679541411,0.538166063827173,3.346778421435746e-47,Internal,significant
5,5.839875708790891,0.6463108583948082,0.22836878090043133,8.825549650671565e-18,External,significant
5a,7.274222111921709,0.8690617401750267,0.11635433004156676,0.00878403973194831,External,insignificant
15,3.3323591913422628,0.35286724621271254,0.14493668682100427,8.915859167870123e-4,External,significant
6,-0.1884085799542268,-0.04270626993992668,0.0016207054328481148,0.6155123378221119,External,insignificant
7,-0.2750427196712907,-0.06327756881750539,0.0066663994003813825,0.36732670036514836,External,insignificant
3,4.570393929603102,0.4962342765796769,0.22081846931912008,7.917239817420293e-12,External,significant
13,1.2147280850349607,0.03846154287360085,0.0017899610746923043,0.7876394772247557,External,insignificant
9,6.868659656802312,0.7783034182505775,0.721284860744882,7.12628755208218e-77,External,significant
5,5.503476848950346,0.5862392443621427,0.19695646244468526,2.794511651508996e-15,Total,significant
5a,3.4004260075067365,0.31298943838232424,0.13539565910188173,0.004486694661234474,Total,significant
15,2.7182290305284407,0.2369961573961633,0.15685899232287767,5.234264964111829e-4,Total,significant
6,2.8995082778697214,0.2730640627480505,0.30988460280703733,3.083569052658164e-14,Total,significant
7,0.6834357002272301,0.011066633992125428,6.393740263974495e-4,0.7804258104344065,Total,insignificant
3,3.4006814957515266,0.3129830161982845,0.2943482664642159,6.194882450853404e-16,Total,significant
13,1.5357536301477863,0.06210556124549106,0.005654243164790632,0.631771940132978,Total,insignificant
9,6.256162278099495,0.6700581214152738,0.6596556979068995,3.8403677435324005e-65,Total,significant
