term,estimate,SE,z,p,CI_lower,CI_upper,pseudo_r2
Intercept,1.486,0.2356,6.306,0,1.0241,1.9478,0.0808
Temperature (z),0.3035,0.2476,1.226,0.2202,-0.1817,0.7888,0.0808
