term,estimate,SE,z,p,CI_lower,CI_upper,pseudo_r2
Intercept,-1.0501,0.3733,-2.8126,0.0049,-1.7819,-0.3183,0.1162
Temperature (z),-0.7838,0.4092,-1.9152,0.0555,-1.5858,0.0183,0.1162
