Date,FullSpC,LowSpC,ID,point,day,NaCl_g,Reach_m,elapsed,time_group.x,time_group.y,mean_prior,SpC_cor,NaCl,tC,single_mass,total_mass,m_0,m_1,t_star,u_mean,Q.long
2025-04-02T09:26:00Z,112.4,111.4,5,2,2025-04-02,600,24,0,prior,prior,111.06666666666666,0.3333333333333428,0.17000000000000484,0,0.8500000000000242,0.8500000000000242,177297.16500000004,121190883.33000001,683.5466507882401,0.03511099055539824,3.384148866678155
2025-12-08T11:57:01Z,77.4,80.4,5,4,2025-12-08,100,8.3,0,prior,prior,80.4,0,0,0,0,0,9761.654999999986,3177010.5749999923,325.45819074736784,0.025502507652181827,10.24416453972202
