OID_,OBJECTID,OBJECTID_overlay,Id,gridcode,Shape_Length_overlay,Shape_Area_overlay,SHAPE_Length,SHAPE_Area
1,1041,1,1,4,22183.798765475723485,5340640.215467520058155,340.944441956154378,5477.130811809013721
2,991,1,1,4,22183.798765475723485,5340640.215467520058155,142.449801423823004,1119.089551111881974
3,988,1,1,4,22183.798765475723485,5340640.215467520058155,196.167795904128695,1757.936786797939249
4,1077,1,1,4,22183.798765475723485,5340640.215467520058155,523.052612736519222,10287.987715582657984
5,867,1,1,4,22183.798765475723485,5340640.215467520058155,358.553401762816407,7358.936104582192456
6,1004,1,1,4,22183.798765475723485,5340640.215467520058155,294.680154000181290,2757.136568176815217
7,1005,1,1,4,22183.798765475723485,5340640.215467520058155,399.427358663230621,5912.272811526559963
8,870,1,1,4,22183.798765475723485,5340640.215467520058155,216.631316415412982,2208.193379767084480
9,827,1,1,4,22183.798765475723485,5340640.215467520058155,208.446324736339875,2239.069467431894736
10,1064,1,1,4,22183.798765475723485,5340640.215467520058155,167.066059630975332,1645.432238030463168
11,1034,1,1,4,22183.798765475723485,5340640.215467520058155,410.733956288903300,5985.830852376236180
12,981,1,1,4,22183.798765475723485,5340640.215467520058155,125.942803319458093,789.785469898578299
13,1000,1,1,4,22183.798765475723485,5340640.215467520058155,6601.873931925050783,288253.907453666150104
14,936,1,1,4,22183.798765475723485,5340640.215467520058155,135.738565241051816,1057.735410249366623
15,1013,1,1,4,22183.798765475723485,5340640.215467520058155,161.310452248826124,1673.521589888112430
16,822,1,1,4,22183.798765475723485,5340640.215467520058155,313.330618551262262,5168.395220025086928
17,1053,1,1,4,22183.798765475723485,5340640.215467520058155,186.622758890748287,1804.991068720961493
18,978,1,1,4,22183.798765475723485,5340640.215467520058155,152.019103393424928,1405.871842896822727
19,1048,1,1,4,22183.798765475723485,5340640.215467520058155,742.548820812708414,16140.523877481853560
20,764,1,1,4,22183.798765475723485,5340640.215467520058155,113.622616644000971,629.709327014623682
21,1100,1,1,4,22183.798765475723485,5340640.215467520058155,245.408819248205788,3518.400816213599683
22,919,1,1,4,22183.798765475723485,5340640.215467520058155,356.852699432203508,3494.111813557512050
23,916,1,1,4,22183.798765475723485,5340640.215467520058155,193.737628366124881,2153.719747503148938
24,955,1,1,4,22183.798765475723485,5340640.215467520058155,388.062742154548289,4201.753520557558659
25,1102,1,1,4,22183.798765475723485,5340640.215467520058155,793.285846794373356,22193.765141615196626
26,760,1,1,4,22183.798765475723485,5340640.215467520058155,578.695205758536417,18254.151322224519390
