OID_,OBJECTID,OBJECTID_overlay,Id,gridcode,Shape_Length_overlay,Shape_Area_overlay,SHAPE_Length,SHAPE_Area
1,1083,4,4,1,21519.442333874379983,4444844.562513563781977,404.637054211055215,7340.913747358519686
2,1060,4,4,1,21519.442333874379983,4444844.562513563781977,266.502046488511610,3289.014863251326915
3,1089,4,4,1,21519.442333874379983,4444844.562513563781977,13544.815430003105575,826789.969722219160758
4,1115,4,4,1,21519.442333874379983,4444844.562513563781977,145.034403145714833,1262.395833344727635
5,1112,4,4,1,21519.442333874379983,4444844.562513563781977,204.571356810940074,2538.126638833886318
6,1081,4,4,1,21519.442333874379983,4444844.562513563781977,267.051669869820614,4233.263176726972233
7,1062,4,4,1,21519.442333874379983,4444844.562513563781977,196.583130101485693,2090.024893887572034
8,1131,4,4,1,21519.442333874379983,4444844.562513563781977,1597.518359382625022,74337.502689636472496
9,1142,4,4,1,21519.442333874379983,4444844.562513563781977,758.250922122265024,13736.793242132691375
10,1116,4,4,1,21519.442333874379983,4444844.562513563781977,264.562286479420209,2726.869968910223633
11,1038,4,4,1,21519.442333874379983,4444844.562513563781977,61.357036264390693,55.423345413326871
12,1108,4,4,1,21519.442333874379983,4444844.562513563781977,394.202640081141794,7171.726492204930764
13,1103,4,4,1,21519.442333874379983,4444844.562513563781977,323.663928678855768,3472.586839599728592
14,1028,4,4,1,21519.442333874379983,4444844.562513563781977,587.903330114289361,17224.995582015617401
15,1138,4,4,1,21519.442333874379983,4444844.562513563781977,185.755111187773991,1460.430829566878401
16,1129,4,4,1,21519.442333874379983,4444844.562513563781977,164.107849810171956,1545.778017116010460
17,1114,4,4,1,21519.442333874379983,4444844.562513563781977,177.155314297951207,1847.432522299661514
18,1095,4,4,1,21519.442333874379983,4444844.562513563781977,463.706097949124455,6370.404427133079480
19,1047,4,4,1,21519.442333874379983,4444844.562513563781977,245.703263342686938,2111.664403463223607
20,1098,4,4,1,21519.442333874379983,4444844.562513563781977,1401.729813247899983,33654.142269078256504
21,1120,4,4,1,21519.442333874379983,4444844.562513563781977,1540.187908515866866,45274.117718159024662
22,1168,4,4,1,21519.442333874379983,4444844.562513563781977,2482.382841131253826,88072.542422063706908
23,1141,4,4,1,21519.442333874379983,4444844.562513563781977,199.695983179479782,2197.178493492720463
24,1128,4,4,1,21519.442333874379983,4444844.562513563781977,985.437340729774519,18892.782033444236731
25,1063,4,4,1,21519.442333874379983,4444844.562513563781977,363.726175947145180,6304.234798519736614
26,1084,4,4,1,21519.442333874379983,4444844.562513563781977,966.858868777434282,23588.427897832156305
27,1075,4,4,1,21519.442333874379983,4444844.562513563781977,232.069736581240107,2971.794072199420043
28,1104,4,4,1,21519.442333874379983,4444844.562513563781977,169.599705842052856,1707.551041181870232
29,1009,4,4,1,21519.442333874379983,4444844.562513563781977,317.593493215702665,2304.021811744938077
30,1111,4,4,1,21519.442333874379983,4444844.562513563781977,155.479475777685479,1147.516560761535629
31,1061,4,4,1,21519.442333874379983,4444844.562513563781977,467.292472152812877,4646.997871687811312
32,1113,4,4,1,21519.442333874379983,4444844.562513563781977,154.845616330474684,1019.248970079277569
33,1109,4,4,1,21519.442333874379983,4444844.562513563781977,167.081872014620160,1695.349776047052046
34,1086,4,4,1,21519.442333874379983,4444844.562513563781977,196.438961889908285,1683.080692410346728
35,1069,4,4,1,21519.442333874379983,4444844.562513563781977,786.935680204599635,11248.557937854740885
36,1096,4,4,1,21519.442333874379983,4444844.562513563781977,335.098259086039604,5176.204061173682021
37,1097,4,4,1,21519.442333874379983,4444844.562513563781977,285.188864037061023,2761.359599526329475
38,1118,4,4,1,21519.442333874379983,4444844.562513563781977,152.456837769147853,1215.215875170633808
39,1071,4,4,1,21519.442333874379983,4444844.562513563781977,1852.382432139710318,52198.642998517265369
40,1067,4,4,1,21519.442333874379983,4444844.562513563781977,272.101758474722544,3015.831268544249269
41,1099,4,4,1,21519.442333874379983,4444844.562513563781977,884.994897338367650,44339.676441051829897
42,1119,4,4,1,21519.442333874379983,4444844.562513563781977,504.274985901445689,9439.468106940939833
43,1122,4,4,1,21519.442333874379983,4444844.562513563781977,118.757034757979213,819.264249806321118
44,997,4,4,1,21519.442333874379983,4444844.562513563781977,50.274876677128518,129.524823387166663
45,1091,4,4,1,21519.442333874379983,4444844.562513563781977,531.205585970098127,7801.062848868238689
46,1139,4,4,1,21519.442333874379983,4444844.562513563781977,184.476897260130357,1940.006538145582454
47,1106,4,4,1,21519.442333874379983,4444844.562513563781977,165.169747608125761,1062.087762448825288
48,1093,4,4,1,21519.442333874379983,4444844.562513563781977,291.208604987221634,4783.360554159839012
49,1101,4,4,1,21519.442333874379983,4444844.562513563781977,902.293438357891773,21580.384090317042137
50,1074,4,4,1,21519.442333874379983,4444844.562513563781977,405.758019398833596,7536.594901793685494
51,1121,4,4,1,21519.442333874379983,4444844.562513563781977,262.801860053571318,2541.633762708471295
52,1080,4,4,1,21519.442333874379983,4444844.562513563781977,546.936437584673058,8897.860976752856004
53,1058,4,4,1,21519.442333874379983,4444844.562513563781977,1025.664362700768379,31224.739416347354563
54,1140,4,4,1,21519.442333874379983,4444844.562513563781977,605.241925606439395,15504.546466640093058
55,1044,4,4,1,21519.442333874379983,4444844.562513563781977,136.171168559316584,1081.956943893711468
56,1094,4,4,1,21519.442333874379983,4444844.562513563781977,166.725957525138284,1497.216914172249972
57,1132,4,4,1,21519.442333874379983,4444844.562513563781977,416.152847986448933,6632.755996860965752
58,1087,4,4,1,21519.442333874379983,4444844.562513563781977,250.190277303480144,3615.827641888501148
59,1127,4,4,1,21519.442333874379983,4444844.562513563781977,765.835975804418922,14895.939405150425955
60,1082,4,4,1,21519.442333874379983,4444844.562513563781977,339.140314299647002,6882.248837730208834
61,1105,4,4,1,21519.442333874379983,4444844.562513563781977,206.294091411817533,2372.997743266057114
