OID_,OBJECTID,OBJECTID_overlay,Id,gridcode,Shape_Length_overlay,Shape_Area_overlay,SHAPE_Length,SHAPE_Area
1,238,3,3,9,7426.814625075585354,1042195.848837944213301,1051.841573377142140,32740.974039338012517
2,259,3,3,9,7426.814625075585354,1042195.848837944213301,243.916171827089215,3472.706085570060168
3,253,3,3,9,7426.814625075585354,1042195.848837944213301,229.292091851596126,2608.374170599817717
4,198,3,3,9,7426.814625075585354,1042195.848837944213301,381.860310097817546,6960.494284238900036
5,240,3,3,9,7426.814625075585354,1042195.848837944213301,152.960568483577561,674.300632918002520
6,264,3,3,9,7426.814625075585354,1042195.848837944213301,386.328095317517011,5531.734694041132570
7,276,3,3,9,7426.814625075585354,1042195.848837944213301,155.277548845485939,1365.471671211782450
8,165,3,3,9,7426.814625075585354,1042195.848837944213301,189.983775948147155,2272.812610985760784
9,222,3,3,9,7426.814625075585354,1042195.848837944213301,284.742072802894313,4911.082852677838673
10,283,3,3,9,7426.814625075585354,1042195.848837944213301,803.352581386680185,33339.073572595494625
11,174,3,3,9,7426.814625075585354,1042195.848837944213301,38.660644497335220,30.471897612884312
12,297,3,3,9,7426.814625075585354,1042195.848837944213301,177.599999761020399,1619.552242718233401
13,239,3,3,9,7426.814625075585354,1042195.848837944213301,384.157756986485253,9087.775105152482865
14,280,3,3,9,7426.814625075585354,1042195.848837944213301,303.963599889033333,4782.660649110813210
15,223,3,3,9,7426.814625075585354,1042195.848837944213301,158.882273309049538,1102.502162003704370
16,312,3,3,9,7426.814625075585354,1042195.848837944213301,132.806676551144790,599.891661049908521
17,247,3,3,9,7426.814625075585354,1042195.848837944213301,288.385628765849447,1743.889125723190091
18,215,3,3,9,7426.814625075585354,1042195.848837944213301,110.328320972511619,698.052036420692616
19,275,3,3,9,7426.814625075585354,1042195.848837944213301,334.279885029048785,6031.493396891158227
