pathway,indep,Estimate,l-95% CI,u-95% CI,site,test,dropped_from,R2,sigma
lint,TempC,0.011621225259283349,0.003964230692284725,0.018934318194521037,13,noQ,lint,0.0854965841803693,0.16120117533454295
lext,lQ,-0.1135035045405885,-0.28316261636995954,0.054764311495014,13,noQ,lint,0.15752517675719432,0.4157763869235553
lext,TempC,-0.03871482432397632,-0.05731778743588701,-0.02021484851208089,13,noQ,lint,0.15752517675719432,0.4157763869235553
lext,TempC,-0.03199088346711276,-0.04983185945583965,-0.013331073118698453,13,noQ,lext,0.10613992014788422,0.45936494933321703
lint,lQ,0.11913943423348108,0.05717080056587657,0.18017347238051842,13,noQ,lext,0.19653799034924027,0.17176250810134416
lint,TempC,0.010753910006920752,0.003690016593809394,0.017648287898665807,13,noQ,lext,0.19653799034924027,0.17176250810134416
lint,TempC,0.012384837590056761,0.005011150544215197,0.019175104730253224,13,noQ,both,0.09441555814281981,0.1549272356373374
lext,TempC,-0.039863442132090046,-0.058578248295115536,-0.020488158530984804,13,noQ,both,0.15041648646299863,0.40500218098608165
lint,TempC,0.03059961625732814,0.02292577527715891,0.03811062534080517,15,noQ,lint,0.25691931034352394,0.19428239182353274
lext,lQ,0.43986863544156124,0.2902769126999345,0.5977747172040422,15,noQ,lint,0.17810593780258777,0.3383507889709557
lext,TempC,0.004147747334048788,-0.010986916693424999,0.019730064807860218,15,noQ,lint,0.17810593780258777,0.3383507889709557
lext,TempC,0.006842122708752423,-0.008090421414455894,0.020949845356077502,15,noQ,lext,0.009790014910350215,0.28787885168603344
lint,lQ,-0.2581106130246037,-0.3704926351456301,-0.14448826075734253,15,noQ,lext,0.30903113779498825,0.1588806352135754
lint,TempC,0.030581015754760306,0.022612183435439765,0.03880430104883162,15,noQ,lext,0.30903113779498825,0.1588806352135754
lint,TempC,0.030839346066489928,0.022906744196839114,0.03908849158743467,15,noQ,both,0.25991156323167997,0.18865437161075138
lext,TempC,0.005625001989539714,-0.00950441103113188,0.02056743395103434,15,noQ,both,0.008922613297268013,0.340436657736634
lint,TempC,0.006504259302311216,0.005191595858932412,0.0077955706092407125,3,noQ,lint,0.2913753496771637,0.1088373618899212
lext,lQ,-0.07786596892164824,-0.36464366914808216,0.2222433281960836,3,noQ,lint,0.17725209685746085,0.2325068053655491
lext,TempC,0.008657119483035762,0.005597274173048553,0.011587089533775137,3,noQ,lint,0.17725209685746085,0.2325068053655491
lext,TempC,0.009532032389457696,0.006850060619505023,0.012172446768689737,3,noQ,lext,0.19544721229788325,0.22112179595093928
lint,lQ,0.3594328521163521,0.3330668070516998,0.3857672130612821,3,noQ,lext,0.6152598171232437,0.04292241055279751
lint,TempC,0.005063692379078195,0.004528962546510525,0.005611569339293146,3,noQ,lext,0.6152598171232437,0.04292241055279751
lint,TempC,0.006496356289564874,0.005143726383162359,0.007825781261747666,3,noQ,both,0.29088049321370785,0.10933087554495252
lext,TempC,0.008335733456873705,0.005604723992396539,0.011039913239586214,3,noQ,both,0.15843386908809076,0.23592576016889488
lint,TempC,0.014578151181261243,-0.009175778778385973,0.04078243852924685,5,noQ,lint,0.06742537832838749,0.25046497468253087
lext,lQ,-0.09052698183536029,-0.28293250861023284,0.08184967053633656,5,noQ,lint,0.1156037423333912,0.3136555977313455
lext,TempC,-0.031340349350343244,-0.0624540067254511,0.00029531849034105274,5,noQ,lint,0.1156037423333912,0.3136555977313455
lext,TempC,-0.027534923105041777,-0.05683859854966872,0.0013139706540882482,5,noQ,lext,0.08873755283074707,0.3027318277505134
lint,lQ,0.0901002609107857,-0.03946701241256219,0.2217523486291464,5,noQ,lext,0.101504751626378,0.24502111683749303
lint,TempC,0.018543249406732222,-0.0062477769209003855,0.04354691057039246,5,noQ,lext,0.101504751626378,0.24502111683749303
lint,TempC,0.015049355597303268,-0.0078011777756005094,0.04086424528082638,5,noQ,both,0.06824481841733236,0.247230580524228
lext,TempC,-0.027842279322729084,-0.055980231574490336,0.0019023245215537235,5,noQ,both,0.09026029214300924,0.29985123715691386
lint,TempC,-0.008944355634421836,-0.01617797587626191,-0.00204883520744086,5a,noQ,lint,0.06950908885070389,0.10228185892868266
lext,lQ,0.11792485872326984,-0.1826823850762003,0.41029116690321005,5a,noQ,lint,0.22373870028904133,0.3175973701894226
lext,TempC,-0.04307071021017393,-0.07464738627622941,-0.01163115642705331,5a,noQ,lint,0.22373870028904133,0.3175973701894226
lext,TempC,-0.055311228087878715,-0.08007757295040076,-0.03154654465128146,5a,noQ,lext,0.23516663354776685,0.3502864313862824
lint,lQ,0.1552665060409846,0.095463982384666,0.21204008978976344,5a,noQ,lext,0.31242335214420003,0.09196620238074964
lint,TempC,-4.316226941665102e-4,-0.007297385140604947,0.006432166467518429,5a,noQ,lext,0.31242335214420003,0.09196620238074964
lint,TempC,-0.008883684991704596,-0.016454693262517753,-0.0018678350542873094,5a,noQ,both,0.06915471262018634,0.10932754715697142
lext,TempC,-0.05216270502318298,-0.07614681088972225,-0.028785191775590777,5a,noQ,both,0.21555410724191038,0.33840095267600484
lint,TempC,-0.0021003903091079347,-0.014855778880208233,0.010835738818281801,6,noQ,lint,0.00417448667996252,0.4530574465951392
lext,lQ,0.3736591634269055,0.29515766834612833,0.4510243497804455,6,noQ,lint,0.18026484962441866,0.37962848539803584
lext,TempC,-0.02601279784638337,-0.03682374501196685,-0.015008739066242307,6,noQ,lint,0.18026484962441866,0.37962848539803584
lext,TempC,-0.0294589071947671,-0.041342912121511435,-0.01763333999067956,6,noQ,lext,0.08637656906259687,0.41346045058250835
lint,lQ,-0.2842876129648162,-0.3840443536572898,-0.18340271345880846,6,noQ,lext,0.04012462194563223,0.47561608136098593
lint,TempC,-0.0047812902797644725,-0.018832720788945222,0.008401450260212965,6,noQ,lext,0.04012462194563223,0.47561608136098593
lint,TempC,-8.59297035476086e-4,-0.013681188152224046,0.012333748737370535,6,noQ,both,0.00403890541569805,0.4604251808771536
lext,TempC,-0.030120329839297685,-0.04208970688896951,-0.018437800514459146,6,noQ,both,0.08983362923554308,0.42242311365938795
lint,TempC,-0.004703372461506115,-0.006099459205608561,-0.0031026991383190194,7,noQ,lint,0.15699661097293838,0.05028561986391086
lext,lQ,0.5423002762226626,0.02360297205406506,1.1082251237931275,7,noQ,lint,0.20953449165959423,0.20430564700318118
lext,TempC,0.01126448054882366,-5.590508069420988e-4,0.024582003394347195,7,noQ,lint,0.20953449165959423,0.20430564700318118
lext,TempC,0.004583539508744518,-0.005025744043644947,0.017851690091468315,7,noQ,lext,0.0671506773087933,0.17606234057755615
lint,lQ,0.09261989407093608,-0.017551494236319232,0.19771377937084986,7,noQ,lext,0.14478089989720802,0.03556775616896563
lint,TempC,-0.004199892470528049,-0.005450862545831223,-0.002806033747669591,7,noQ,lext,0.14478089989720802,0.03556775616896563
lint,TempC,-0.004734765036523122,-0.0059306582102972355,-0.0033663934717595282,7,noQ,both,0.15848136655318354,0.04222424796603937
lext,TempC,0.005524208437196758,-0.004210774981912576,0.01799994938020566,7,noQ,both,0.07746966102207574,0.19514080519150595
lint,TempC,0.023943240688991757,0.013645235930583281,0.0344306557160399,9,noQ,lint,0.08932473301041456,0.3423490610168063
lext,lQ,0.38989688526340716,0.34046242606212535,0.4408504412758347,9,noQ,lint,0.3967089410704814,0.25551664592826034
lext,TempC,0.018417752364737396,0.010872745109312982,0.026135912326993287,9,noQ,lint,0.3967089410704814,0.25551664592826034
lext,TempC,0.025534876738881027,0.013355096785480578,0.03798294337516592,9,noQ,lext,0.07701532187735773,0.4157001814925687
lint,lQ,-0.12176783035475451,-0.2037357565717066,-0.0371409279176628,9,noQ,lext,0.08409339316292914,0.40224641542128675
lint,TempC,0.02485528154366827,0.012882275156020018,0.03720896191002438,9,noQ,lext,0.08409339316292914,0.40224641542128675
lint,TempC,0.02212605063660217,0.012027551699411578,0.032471425830198915,9,noQ,both,0.0778570706793417,0.3611137901664155
lext,TempC,0.025316020559257406,0.013422750782078503,0.03775432572352701,9,noQ,both,0.07576370104182235,0.4211582519103047
lint,lQ,0.11473223393997233,0.05203494968299885,0.17427518990641128,13,full,NA,0.1870778045109321,0.17153274852242897
lint,TempC,0.01055593209393875,0.00383946958756108,0.01751846492946411,13,full,NA,0.1870778045109321,0.17153274852242897
lext,lQ,-0.10347775586085144,-0.25431366410104417,0.05118325312264078,13,full,NA,0.12616260360275325,0.454904794316678
lext,TempC,-0.03330487400139007,-0.05219960404076525,-0.01449524839146224,13,full,NA,0.12616260360275325,0.454904794316678
lint,lQ,-0.21163826792808452,-0.31839691517161245,-0.11517127896007248,15,full,NA,0.3239140549717337,0.16836831834586413
lint,TempC,0.03353152505256365,0.02589884265373218,0.04107192737669594,15,full,NA,0.3239140549717337,0.16836831834586413
lext,lQ,0.4168100720384379,0.255018886648131,0.5730802113710926,15,full,NA,0.17223103812323456,0.2914714609911863
lext,TempC,0.00909026842812994,-0.0064798792304574,0.02340793047431105,15,full,NA,0.17223103812323456,0.2914714609911863
lint,lQ,0.3756839275370892,0.346513602816742,0.40372952699650144,3,full,NA,0.6257281689885182,0.04175774427487026
lint,TempC,0.00498309111263435,0.00444784907475959,0.00551735606955959,3,full,NA,0.6257281689885182,0.04175774427487026
lext,lQ,-0.24855975092151392,-0.3959667444477834,-0.09498371596553228,3,full,NA,0.23953940754184888,0.20320512598430143
lext,TempC,0.0105764847014468,0.00799243373401216,0.0130828757825228,3,full,NA,0.23953940754184888,0.20320512598430143
lint,lQ,0.11843623216018552,-0.1241786202075064,0.35324034725732456,5,full,NA,0.1327484580460562,0.24567163989133728
lint,TempC,0.02118521379674183,-0.00554419238444143,0.04913258246523794,5,full,NA,0.1327484580460562,0.24567163989133728
lext,lQ,0.03849646471511928,-0.28561769317245567,0.32767386559790723,5,full,NA,0.09502042745330312,0.30378311014085785
lext,TempC,-0.0240157175841233,-0.05683259510292662,0.00784067175118199,5,full,NA,0.09502042745330312,0.30378311014085785
lint,lQ,0.16298039982976725,0.10261697498084472,0.22299124722282593,5a,full,NA,0.33256904664217396,0.09553929610154516
lint,TempC,-3.365245847976067e-4,-0.00783191293965528,0.00656407741270995,5a,full,NA,0.33256904664217396,0.09553929610154516
lext,lQ,0.1355939688048216,-0.10228141933195702,0.3733815317658135,5a,full,NA,0.260097446826957,0.3580499451050462
lext,TempC,-0.04855322971313838,-0.07638456971757812,-0.02052808056132252,5a,full,NA,0.260097446826957,0.3580499451050462
lint,lQ,0.24261776074570943,0.07773947793544862,0.4069059454251122,6,full,NA,0.03750448020062547,0.4475129719257243
lint,TempC,4.4108277584584935e-4,-0.01253089857872091,0.01412004798361906,6,full,NA,0.03750448020062547,0.4475129719257243
lext,lQ,0.5429793257137637,0.4031332850212602,0.6841644881177291,6,full,NA,0.25499669782058393,0.3768067343028127
lext,TempC,-0.02452890190825393,-0.03533691193873582,-0.01377197521415824,6,full,NA,0.25499669782058393,0.3768067343028127
lint,lQ,0.0570541263614943,-0.12770949980254928,0.18758665561977808,7,full,NA,0.14830009463815785,0.04591353383160615
lint,TempC,-0.00434345973576728,-0.006035962786082,-0.00274648082330526,7,full,NA,0.14830009463815785,0.04591353383160615
lext,lQ,0.44838498755535167,-0.09273365694688734,1.1208442844445912,7,full,NA,0.17379581564328975,0.19430999047099703
lext,TempC,0.00963453335158054,-0.00212100835757666,0.02320672869213199,7,full,NA,0.17379581564328975,0.19430999047099703
lint,lQ,0.5696672729414086,0.5101375582889095,0.6301428174220026,9,full,NA,0.5934573743818986,0.21635753804489063
lint,TempC,0.01022513282008099,0.00387359658953722,0.01645400525615095,9,full,NA,0.5934573743818986,0.21635753804489063
lext,lQ,0.7698108473112394,0.7182874961355923,0.8233251263460492,9,full,NA,0.7700060406891076,0.18462999720990775
lext,TempC,0.00949369256748259,0.00419165322732862,0.01479914787593932,9,full,NA,0.7700060406891076,0.18462999720990775
