pathway,indep.var,Estimate,l-95% CI,u-95% CI,site,sigma,R2
lint,lQ,0.11473223393997231,0.052034949682998856,0.17427518990641128,13,0.17153274852242895,0.1870778045109321
lint,TempC,0.010555932093938751,0.003839469587561084,0.017518464929464118,13,0.17153274852242895,0.1870778045109321
lext,lQ,-0.10347775586085144,-0.25431366410104417,0.051183253122640784,13,0.454904794316678,0.12616260360275325
lext,TempC,-0.033304874001390074,-0.05219960404076525,-0.014495248391462247,13,0.454904794316678,0.12616260360275325
lint,lQ,-0.21163826792808452,-0.31839691517161245,-0.11517127896007247,15,0.16836831834586413,0.3239140549717337
lint,TempC,0.033531525052563654,0.025898842653732188,0.041071927376695946,15,0.16836831834586413,0.3239140549717337
lext,lQ,0.41681007203843795,0.255018886648131,0.5730802113710926,15,0.2914714609911863,0.17223103812323456
lext,TempC,0.009090268428129943,-0.006479879230457409,0.023407930474311053,15,0.2914714609911863,0.17223103812323456
lint,lQ,0.3756839275370892,0.346513602816742,0.40372952699650144,3,0.041757744274870265,0.6257281689885182
lint,TempC,0.004983091112634357,0.004447849074759598,0.005517356069559591,3,0.041757744274870265,0.6257281689885182
lext,lQ,-0.24855975092151394,-0.3959667444477834,-0.09498371596553228,3,0.20320512598430146,0.23953940754184888
lext,TempC,0.010576484701446802,0.007992433734012164,0.013082875782522806,3,0.20320512598430146,0.23953940754184888
lint,lQ,0.11843623216018553,-0.1241786202075064,0.35324034725732456,5,0.24567163989133728,0.1327484580460562
lint,TempC,0.021185213796741837,-0.005544192384441438,0.049132582465237946,5,0.24567163989133728,0.1327484580460562
lext,lQ,0.038496464715119284,-0.28561769317245567,0.32767386559790723,5,0.30378311014085785,0.09502042745330311
lext,TempC,-0.024015717584123304,-0.05683259510292662,0.007840671751181997,5,0.30378311014085785,0.09502042745330311
lint,lQ,0.16298039982976723,0.10261697498084472,0.22299124722282593,5a,0.09553929610154516,0.33256904664217396
lint,TempC,-3.365245847976067e-4,-0.00783191293965528,0.006564077412709956,5a,0.09553929610154516,0.33256904664217396
lext,lQ,0.1355939688048216,-0.10228141933195702,0.3733815317658135,5a,0.3580499451050462,0.260097446826957
lext,TempC,-0.04855322971313838,-0.07638456971757812,-0.020528080561322524,5a,0.3580499451050462,0.260097446826957
lint,lQ,0.24261776074570943,0.07773947793544862,0.4069059454251122,6,0.4475129719257243,0.037504480200625474
lint,TempC,4.4108277584584935e-4,-0.012530898578720915,0.01412004798361906,6,0.4475129719257243,0.037504480200625474
lext,lQ,0.5429793257137637,0.4031332850212602,0.6841644881177291,6,0.3768067343028127,0.25499669782058393
lext,TempC,-0.02452890190825393,-0.035336911938735824,-0.013771975214158247,6,0.3768067343028127,0.25499669782058393
lint,lQ,0.0570541263614943,-0.12770949980254928,0.18758665561977808,7,0.04591353383160615,0.14830009463815783
lint,TempC,-0.00434345973576728,-0.006035962786082007,-0.0027464808233052603,7,0.04591353383160615,0.14830009463815783
lext,lQ,0.44838498755535167,-0.09273365694688734,1.1208442844445912,7,0.19430999047099706,0.17379581564328975
lext,TempC,0.009634533351580541,-0.002121008357576661,0.023206728692131997,7,0.19430999047099706,0.17379581564328975
lint,lQ,0.5696672729414086,0.5101375582889095,0.6301428174220026,9,0.21635753804489066,0.5934573743818986
lint,TempC,0.010225132820080996,0.003873596589537225,0.016454005256150952,9,0.21635753804489066,0.5934573743818986
lext,lQ,0.7698108473112394,0.7182874961355923,0.8233251263460492,9,0.18462999720990778,0.7700060406891076
lext,TempC,0.00949369256748259,0.004191653227328623,0.014799147875939325,9,0.18462999720990778,0.7700060406891076
