"Plot Title: Bradford_9cond"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 10922244, SEN S/N: 10922244)","Temp, °F (LGR S/N: 10922244, SEN S/N: 10922244)","Coupler Detached (LGR S/N: 10922244, SEN S/N: 10922244)","Coupler Attached (LGR S/N: 10922244, SEN S/N: 10922244)","Stopped (LGR S/N: 10922244, SEN S/N: 10922244)","End Of File (LGR S/N: 10922244, SEN S/N: 10922244)"
1,09/26/25 12:00:00 PM,1.5,85.82,Logged,,,
2,09/26/25 01:00:00 PM,5.8,78.22,,,,
3,09/26/25 02:00:00 PM,1.5,75.47,,,,
4,09/26/25 03:00:00 PM,1.9,76.06,,,,
5,09/26/25 04:00:00 PM,1.5,77.16,,,,
6,09/26/25 05:00:00 PM,1.5,76.84,,,,
7,09/26/25 06:00:00 PM,1.5,76.91,,,,
8,09/26/25 07:00:00 PM,1.9,75.51,,,,
9,09/26/25 08:00:00 PM,1.5,74.93,,,,
10,09/26/25 09:00:00 PM,1.5,74.75,,,,
11,09/26/25 10:00:00 PM,1.5,74.05,,,,
12,09/26/25 11:00:00 PM,2.3,73.56,,,,
13,09/27/25 12:00:00 AM,1.5,73.35,,,,
14,09/27/25 01:00:00 AM,1.5,73.69,,,,
15,09/27/25 02:00:00 AM,1.5,73.13,,,,
16,09/27/25 03:00:00 AM,1.5,72.41,,,,
17,09/27/25 04:00:00 AM,2.3,72.25,,,,
18,09/27/25 05:00:00 AM,1.5,71.73,,,,
19,09/27/25 06:00:00 AM,1.5,71.98,,,,
20,09/27/25 07:00:00 AM,3.1,72.39,,,,
21,09/27/25 08:00:00 AM,2.3,73.33,,,,
22,09/27/25 09:00:00 AM,1.5,74.05,,,,
23,09/27/25 10:00:00 AM,1.9,75.20,,,,
24,09/27/25 11:00:00 AM,1.9,76.01,,,,
25,09/27/25 12:00:00 PM,1.5,76.51,,,,
26,09/27/25 01:00:00 PM,2.3,78.94,,,,
27,09/27/25 02:00:00 PM,1.5,84.63,,,,
28,09/27/25 03:00:00 PM,5.8,84.58,,,,
29,09/27/25 04:00:00 PM,1.5,81.93,,,,
30,09/27/25 05:00:00 PM,5.8,80.38,,,,
31,09/27/25 06:00:00 PM,1.5,79.68,,,,
32,09/27/25 07:00:00 PM,1.5,77.83,,,,
33,09/27/25 08:00:00 PM,1.5,76.19,,,,
34,09/27/25 09:00:00 PM,1.5,75.07,,,,
35,09/27/25 10:00:00 PM,1.5,74.28,,,,
