"Plot Title: Bradford_9cond"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 10922244, SEN S/N: 10922244)","Temp, °F (LGR S/N: 10922244, SEN S/N: 10922244)","Coupler Detached (LGR S/N: 10922244, SEN S/N: 10922244)","Coupler Attached (LGR S/N: 10922244, SEN S/N: 10922244)","Stopped (LGR S/N: 10922244, SEN S/N: 10922244)","End Of File (LGR S/N: 10922244, SEN S/N: 10922244)"
1,10/31/25 12:00:00 PM,1.1,67.91,Logged,,,
2,10/31/25 01:00:00 PM,5.8,70.95,,,,
3,10/31/25 02:00:00 PM,1.5,71.83,,,,
4,10/31/25 03:00:00 PM,5.8,69.96,,,,
5,10/31/25 04:00:00 PM,1.1,67.21,,,,
6,10/31/25 05:00:00 PM,5.8,64.00,,,,
7,10/31/25 06:00:00 PM,5.9,57.85,,,,
8,10/31/25 07:00:00 PM,1.5,52.75,,,,
9,10/31/25 08:00:00 PM,1.5,49.75,,,,
10,10/31/25 09:00:00 PM,5.9,47.82,,,,
11,10/31/25 10:00:00 PM,1.6,45.93,,,,
12,10/31/25 11:00:00 PM,1.6,44.98,,,,
13,11/01/25 12:00:00 AM,5.9,43.95,,,,
14,11/01/25 01:00:00 AM,1.6,43.09,,,,
15,11/01/25 02:00:00 AM,5.9,42.12,,,,
16,11/01/25 03:00:00 AM,1.6,41.09,,,,
17,11/01/25 04:00:00 AM,1.6,40.42,,,,
18,11/01/25 05:00:00 AM,1.6,39.34,,,,
19,11/01/25 06:00:00 AM,1.6,38.73,,,,
20,11/01/25 07:00:00 AM,1.6,38.57,,,,
21,11/01/25 08:00:00 AM,1.6,41.83,,,,
22,11/01/25 09:00:00 AM,1.5,55.22,,,,
23,11/01/25 10:00:00 AM,1.5,70.72,,,,
24,11/01/25 11:00:00 AM,1.5,67.14,,,,
25,11/01/25 12:00:00 PM,1.5,71.17,,,,
26,11/01/25 01:00:00 PM,1.1,75.15,,,,
27,11/01/25 02:00:00 PM,1.1,74.34,,,,
28,11/01/25 03:00:00 PM,1.5,72.73,,,,
29,11/01/25 04:00:00 PM,1.5,69.85,,,,
30,11/01/25 05:00:00 PM,1.5,66.16,,,,
31,11/01/25 06:00:00 PM,5.9,60.22,,,,
32,11/01/25 07:00:00 PM,1.5,55.51,,,,
33,11/01/25 08:00:00 PM,1.5,53.11,,,,
34,11/01/25 09:00:00 PM,1.5,51.69,,,,
35,11/01/25 10:00:00 PM,1.5,50.70,,,,
36,11/01/25 11:00:00 PM,1.5,49.68,,,,
37,11/02/25 12:00:00 AM,1.5,48.65,,,,
38,11/02/25 01:00:00 AM,1.5,47.37,,,,
39,11/02/25 02:00:00 AM,1.6,46.22,,,,
40,11/02/25 03:00:00 AM,1.6,45.19,,,,
41,11/02/25 04:00:00 AM,1.6,44.26,,,,
42,11/02/25 05:00:00 AM,1.6,44.76,,,,
43,11/02/25 06:00:00 AM,1.2,44.04,,,,
44,11/02/25 07:00:00 AM,1.6,43.99,,,,
45,11/02/25 08:00:00 AM,1.5,47.68,,,,
46,11/02/25 09:00:00 AM,1.5,58.98,,,,
47,11/02/25 10:00:00 AM,1.5,72.75,,,,
48,11/02/25 11:00:00 AM,2.7,71.11,,,,
49,11/02/25 12:00:00 PM,1.5,74.89,,,,
50,11/02/25 01:00:00 PM,1.5,77.31,,,,
51,11/02/25 02:00:00 PM,1.5,75.83,,,,
52,11/02/25 03:00:00 PM,1.5,75.18,,,,
53,11/02/25 04:00:00 PM,1.5,72.03,,,,
54,11/02/25 05:00:00 PM,1.5,68.34,,,,
55,11/02/25 06:00:00 PM,1.5,65.59,,,,
56,11/02/25 07:00:00 PM,5.8,63.72,,,,
57,11/02/25 08:00:00 PM,1.5,63.30,,,,
58,11/02/25 09:00:00 PM,1.5,63.23,,,,
59,11/02/25 10:00:00 PM,1.5,61.07,,,,
60,11/02/25 11:00:00 PM,1.5,59.41,,,,
61,11/03/25 12:00:00 AM,1.5,58.46,,,,
62,11/03/25 01:00:00 AM,1.5,56.53,,,,
63,11/03/25 02:00:00 AM,5.9,54.05,,,,
64,11/03/25 03:00:00 AM,1.1,52.27,,,,
65,11/03/25 04:00:00 AM,1.5,50.95,,,,
66,11/03/25 05:00:00 AM,1.5,49.05,,,,
67,11/03/25 06:00:00 AM,1.5,47.71,,,,
68,11/03/25 07:00:00 AM,1.2,46.42,,,,
69,11/03/25 08:00:00 AM,1.2,48.88,,,,
70,11/03/25 09:00:00 AM,1.5,58.53,,,,
71,11/03/25 10:00:00 AM,1.5,69.42,,,,
72,11/03/25 11:00:00 AM,5.8,68.41,,,,
73,11/03/25 12:00:00 PM,5.8,72.01,,,,
74,11/03/25 01:00:00 PM,1.5,75.40,,,,
75,11/03/25 02:00:00 PM,1.5,75.25,,,,
76,11/03/25 03:00:00 PM,1.1,73.67,,,,
77,11/03/25 04:00:00 PM,5.8,70.95,,,,
78,11/03/25 05:00:00 PM,5.8,68.00,,,,
79,11/03/25 06:00:00 PM,1.5,60.84,,,,
80,11/03/25 07:00:00 PM,1.1,55.53,,,,
81,11/03/25 08:00:00 PM,1.5,52.56,,,,
82,11/03/25 09:00:00 PM,1.5,50.49,,,,
83,11/03/25 10:00:00 PM,5.9,48.69,,,,
84,11/03/25 11:00:00 PM,1.5,47.08,,,,
85,11/04/25 12:00:00 AM,5.9,45.99,,,,
86,11/04/25 01:00:00 AM,1.6,44.55,,,,
87,11/04/25 02:00:00 AM,1.2,43.52,,,,
88,11/04/25 03:00:00 AM,1.6,42.94,,,,
89,11/04/25 04:00:00 AM,5.9,41.95,,,,
90,11/04/25 05:00:00 AM,1.2,41.14,,,,
91,11/04/25 06:00:00 AM,2.8,41.11,,,,
92,11/04/25 07:00:00 AM,1.6,39.87,,,,
93,11/04/25 08:00:00 AM,1.5,48.07,,,,
94,11/04/25 09:00:00 AM,1.5,57.85,,,,
95,11/04/25 10:00:00 AM,1.5,67.12,,,,
96,11/04/25 11:00:00 AM,5.8,68.38,,,,
97,11/04/25 12:00:00 PM,1.5,73.54,,,,
98,11/04/25 01:00:00 PM,1.5,80.89,,,,
99,11/04/25 02:00:00 PM,1.5,78.30,,,,
100,11/04/25 03:00:00 PM,1.1,77.74,,,,
101,11/04/25 04:00:00 PM,1.5,74.12,,,,
102,11/04/25 05:00:00 PM,1.5,70.97,,,,
103,11/04/25 06:00:00 PM,1.1,66.79,,,,
104,11/04/25 07:00:00 PM,1.5,63.36,,,,
105,11/04/25 08:00:00 PM,1.5,62.22,,,,
106,11/04/25 09:00:00 PM,5.9,59.92,,,,
107,11/04/25 10:00:00 PM,1.5,57.49,,,,
