Basin,day,well.depth.m,ID,Date,CO2,K600,depth,Q,CO2_flux,external,internal,int.ext.ratio,NEP_corrected,ER_corrected,NEP,basin.wetland.perc,basin.area,contrib.wetland.area,(contrib.wetland.area/basin.area) * well.depth.m
13,2023-12-09,-0.031602881000000006,13,2023-12-09T00:00:00Z,11695.4292,32.92392233202539,0.04933324503012634,3.2279130310636077,8.94,7.3695,1.5705,0.21310808060248324,-3.49,-3.6761594669515,-3.58780778520083,23.59942857,954615.6641,2325321.881,-0.07698058334421079
13,2023-12-10,-0.0217084345,13,2023-12-10T00:00:00Z,16023.7056,10.713457605634453,0.057605799454023,4.277783953485091,4.44,3.7605,0.6794999999999999,0.180694056641404,-1.51,-1.7249625140453066,-1.598966056807468,23.59942857,954615.6641,2325321.881,-0.05287897490420542
13,2023-12-11,-0.31704787475,13,2023-12-11T00:00:00Z,14061.3396,12.829573922520472,0.06951557706145695,5.7195184584894205,5.49,5.067,0.42299999999999993,0.08348134991119004,-0.94,-0.9866161989607456,-1.0571724782097731,23.59942857,954615.6641,2325321.881,-0.7722881450680801
13,2023-12-12,-0.1354642444,13,2023-12-12T00:00:00Z,14372.1102,21.47882645242723,0.0580432056318657,4.224495496096163,8.65,8.065000000000001,0.585,0.07253564786112832,-1.3,-1.3996461760174748,-1.433619512442557,23.59942857,954615.6641,2325321.881,-0.3299736045012711
13,2024-02-09,-0.15697347279999999,13,2024-02-09T13:13:30Z,10497.3708,29.928236677907417,0.1734585500989185,25.97148649913847,23.84,20.8295,3.0105,0.14453059362922777,-6.69,-7.192007885127245,-7.237068226770095,23.59942857,954615.6641,2325321.881,-0.38236733877872087
13,2024-08-05,-0.23419316375000002,13,2024-08-05T00:00:00Z,41425.965,0.6169012584147541,0.7380248686254949,332.63376572239935,8.6,6.926,1.674,0.24169794975454809,-3.72,-3.760888486373042,-3.754963063284393,23.59942857,954615.6641,2325321.881,-0.5704646472168559
13,2024-08-10,-0.0496442714,13,2024-08-10T00:00:00Z,8939.4249,1.664000931149492,0.21789021093193697,37.97318619267046,1.43,0.4265000000000001,1.0034999999999998,2.3528722157092603,-2.23,-3.227194268914616,-2.320421974626035,23.59942857,954615.6641,2325321.881,-0.12092710699604632
13,2024-08-11,-0.1112885994,13,2024-08-11T00:00:00Z,8839.905900000002,5.198027329525399,0.18331750921077583,28.532909029088255,3.73,2.7445,0.9855,0.3590817999635635,-2.19,-2.5271965776959227,-2.268796992732496,23.59942857,954615.6641,2325321.881,-0.2710848198103263
13,2024-09-08,0.0449528874,13,2024-09-08T00:00:00Z,11195.0832,10.0027569041611,0.0499321098642197,3.3944471744367455,2.5,1.9735,0.5265,0.2667848999239929,-1.17,-1.3966043239503418,-1.3097986149100953,23.59942857,954615.6641,2325321.881,0.10949949452578776
13,2024-09-09,-0.0920644508,13,2024-09-09T00:00:00Z,14535.9543,26.445054398479915,0.07090705711714465,5.916898095299944,11.23,9.5515,1.6785,0.17573156048788147,-3.73,-3.8448376659177894,-3.888550466318641,23.59942857,954615.6641,2325321.881,-0.22425724818722673
13,2024-09-10,-0.027297806399999996,13,2024-09-10T00:00:00Z,10551.555,58.967825657259176,0.06183895185972183,4.693970121575188,16.06,12.581499999999998,3.4785,0.2764773675634861,-7.73,-8.231754998914777,-7.891185935947869,23.59942857,954615.6641,2325321.881,-0.0664939712518403
13,2024-09-11,-0.1227550994,13,2024-09-11T00:00:00Z,8950.7691,80.43770246622663,0.06099349562335472,4.585603401716028,19.96,15.019000000000002,4.941,0.3289832878354084,-10.98,-11.653332196299198,-11.139418509079404,23.59942857,954615.6641,2325321.881,-0.29901574987067087
13,2024-09-12,-0.4614693623333333,13,2024-09-12T00:00:00Z,9132.2133,48.40711957579062,0.06854682512395303,5.587035494165258,13.41,10.179,3.230999999999999,0.317418213969938,-7.18,-7.678242523142432,-7.343738907858701,23.59942857,954615.6641,2325321.881,-1.1240804503836521
13,2024-10-01,0.09242231940000001,13,2024-10-01T00:00:00Z,11726.2656,22.474021130710284,0.0941776529007603,9.445362830492252,18.04,15.61,2.4299999999999997,0.15566944266495836,-5.4,-5.583055427331747,-5.587419904630046,23.59942857,954615.6641,2325321.881,0.22512897040738053
