OID_,Id,gridcode,Shape_Leng,Shape_Area,Basin,sqkm,Note
0,9,3,17575.639693699999043,4664374.411940000019968,3,4.664374411940000, 
1,12,7,22937.526127599998290,3834022.149100000038743,7,3.834022149100000, 
2,14,6,33450.878361299997778,13842321.921199999749660,6,13.842321921200000, 
3,16,66,15417.337116400000014,4375909.612429999746382,6a,4.375909612430000, 
4,21,14,17914.438427400000364,5594663.401320000179112,14,5.594663401320000, 
5,24,9,43407.765956800001732,22547918.114199999719858,9,22.547918114200002, 
6,32,15,15838.729836300000898,3425378.536429999861866,15,3.425378536430000, 
7,33,55,7430.779563520000011,1042212.871580000035465,5a,1.042212871580000, 
8,38,13,18101.212222400001338,4330684.347210000269115,13,4.330684347210000, 
9,39,5,38417.168756400002167,15324785.606100000441074,5,15.324785606100001,Area value excludes 5a
