date,well_id,well_depth_m,flag
6/19/2021,5_546,-0.150631838,0
6/20/2021,5_546,-0.082508541,0
6/21/2021,5_546,0.025253737,0
6/22/2021,5_546,0.157301965,0
6/23/2021,5_546,0.198994259,0
6/24/2021,5_546,0.180135521,0
6/25/2021,5_546,0.196988502,0
6/26/2021,5_546,0.1797649,0
6/27/2021,5_546,0.144011349,0
6/28/2021,5_546,0.109127839,0
6/29/2021,5_546,0.086275935,0
6/30/2021,5_546,0.071365962,0
7/1/2021,5_546,0.062140801,0
7/2/2021,5_546,0.058077181,0
7/3/2021,5_546,0.073779769,0
7/4/2021,5_546,0.075689017,0
7/5/2021,5_546,0.069792474,0
7/6/2021,5_546,0.061090586,0
7/7/2021,5_546,0.188091816,0
7/8/2021,5_546,0.321334419,0
7/9/2021,5_546,0.240333547,0
7/10/2021,5_546,0.182366953,0
7/11/2021,5_546,0.141103258,0
7/12/2021,5_546,0.1224335,0
7/13/2021,5_546,0.105063484,0
7/14/2021,5_546,0.090361206,0
7/15/2021,5_546,0.074846497,0
7/16/2021,5_546,0.061945216,0
7/17/2021,5_546,0.048039223,0
7/18/2021,5_546,0.036277693,0
7/19/2021,5_546,0.028410253,0
7/20/2021,5_546,0.021864573,0
7/21/2021,5_546,0.017354739,0
7/22/2021,5_546,0.014536551,0
7/23/2021,5_546,0.005287172,0
7/24/2021,5_546,0.000906505,0
7/25/2021,5_546,-0.010744205,0
7/26/2021,5_546,-0.021347635,0
7/27/2021,5_546,0.026083047,0
7/28/2021,5_546,0.134876825,0
7/29/2021,5_546,0.169567685,0
7/30/2021,5_546,0.138019398,0
7/31/2021,5_546,0.107971942,0
8/1/2021,5_546,0.08607668,0
8/2/2021,5_546,0.079573566,0
8/3/2021,5_546,0.123461698,0
8/4/2021,5_546,0.129387231,0
8/5/2021,5_546,0.144311882,0
8/6/2021,5_546,0.155864983,0
8/7/2021,5_546,0.143324782,0
8/8/2021,5_546,0.139131995,0
8/9/2021,5_546,0.12005859,0
8/10/2021,5_546,0.113393283,0
8/11/2021,5_546,0.106540831,0
8/12/2021,5_546,0.089247141,0
8/13/2021,5_546,0.073009538,0
8/14/2021,5_546,0.060294669,0
8/15/2021,5_546,0.052127796,0
8/16/2021,5_546,0.042270745,0
8/17/2021,5_546,0.039837123,0
8/18/2021,5_546,0.036211642,0
8/19/2021,5_546,0.036284299,0
8/20/2021,5_546,0.066566603,0
8/21/2021,5_546,0.06182926,0
8/22/2021,5_546,0.055615303,0
8/23/2021,5_546,0.062584446,0
8/24/2021,5_546,0.065219891,0
8/25/2021,5_546,0.081347409,0
8/26/2021,5_546,0.08489583,0
8/27/2021,5_546,0.078563715,0
8/28/2021,5_546,0.069453778,0
8/29/2021,5_546,0.059105012,0
8/30/2021,5_546,0.04563936,0
8/31/2021,5_546,0.037289746,0
9/1/2021,5_546,0.048296823,0
9/2/2021,5_546,0.055528703,0
9/3/2021,5_546,0.046916351,0
9/4/2021,5_546,0.036277693,0
9/5/2021,5_546,0.027004829,0
9/6/2021,5_546,0.018202397,0
9/7/2021,5_546,0.009075579,0
9/8/2021,5_546,0.007820605,0
9/9/2021,5_546,0.028234851,0
9/10/2021,5_546,0.027522965,0
9/11/2021,5_546,0.020098068,0
9/12/2021,5_546,0.011151791,0
9/13/2021,5_546,-0.009819732,0
9/14/2021,5_546,-0.022852503,0
9/15/2021,5_546,-0.006454175,0
9/16/2021,5_546,0.01861485,0
9/17/2021,5_546,0.124619797,0
9/18/2021,5_546,0.125026012,0
9/19/2021,5_546,0.230233941,0
9/20/2021,5_546,0.226958165,0
9/21/2021,5_546,0.245063551,0
9/22/2021,5_546,0.255896693,0
9/23/2021,5_546,0.199470562,0
9/24/2021,5_546,0.151292767,0
9/25/2021,5_546,0.111476329,0
9/26/2021,5_546,0.084363384,0
9/27/2021,5_546,0.065186866,0
9/28/2021,5_546,0.0511451,0
9/29/2021,5_546,0.039033866,0
9/30/2021,5_546,0.028152653,0
10/1/2021,5_546,0.017733433,0
10/2/2021,5_546,0.008988612,0
10/3/2021,5_546,0.001567752,0
10/4/2021,5_546,-0.006274735,0
10/5/2021,5_546,-0.011020886,0
10/6/2021,5_546,0.018415596,0
10/7/2021,5_546,0.024679091,0
10/8/2021,5_546,0.020998934,0
10/9/2021,14.9_601,0.404013471,0
10/9/2021,14_115,0.136907417,0
10/9/2021,15_268,-0.199201972,0
10/9/2021,5_510,-0.32330331,0
10/9/2021,5_546,0.017959842,0
10/10/2021,14.9_601,0.397958221,0
10/10/2021,14_115,0.12987,0
10/10/2021,15_268,-0.212675805,0
10/10/2021,5_510,-0.357657529,0
10/10/2021,5_546,0.011008313,0
10/11/2021,14.9_601,0.391019903,0
10/11/2021,14_115,0.120040103,0
10/11/2021,15_268,-0.229072665,0
10/11/2021,5_510,-0.395968733,0
10/11/2021,5_546,0.002813552,0
10/12/2021,14.9_601,0.384756041,0
10/12/2021,14_115,0.112634288,0
10/12/2021,15_268,-0.247143559,0
10/12/2021,5_510,-0.42888208,0
10/12/2021,5_546,-0.003007032,0
10/13/2021,14.9_601,0.378131098,0
10/13/2021,14_115,0.101189071,0
10/13/2021,15_268,-0.265537369,0
10/13/2021,5_510,-0.455052326,0
10/13/2021,5_546,-0.010988227,0
10/14/2021,13_267,-0.017571312,0
10/14/2021,13_271,-0.177672717,0
10/14/2021,13_274,-0.033540433,0
10/14/2021,13_410,-0.044973069,0
10/14/2021,14.9_601,0.371356073,0
10/14/2021,14_115,0.090715175,0
10/14/2021,15_268,-0.284002001,0
10/14/2021,5_510,-0.478839223,0
10/14/2021,5_546,-0.019140055,0
10/15/2021,13_267,-0.024672444,0
10/15/2021,13_271,-0.177813836,0
10/15/2021,13_274,-0.03752259,0
10/15/2021,13_410,-0.047316421,0
10/15/2021,14.9_601,0.366141692,0
10/15/2021,14_115,0.079664798,0
10/15/2021,15_268,-0.303031372,0
10/15/2021,5_510,-0.500548807,0
10/15/2021,5_546,-0.026347716,0
10/16/2021,13_267,-0.035185605,0
10/16/2021,13_271,-0.182793367,0
10/16/2021,13_274,-0.044521823,0
10/16/2021,13_410,-0.050916215,0
10/16/2021,14.9_601,0.361288392,0
10/16/2021,14_115,0.066480231,0
10/16/2021,15_268,-0.322735933,0
10/16/2021,5_510,-0.516419459,0
10/16/2021,5_546,-0.033572991,0
10/17/2021,13_267,-0.048138258,0
10/17/2021,13_271,-0.188386442,0
10/17/2021,13_274,-0.054157235,0
10/17/2021,13_410,-0.057815637,0
10/17/2021,14.9_601,0.353822397,0
10/17/2021,14_115,0.047580027,0
10/17/2021,15_268,-0.344695044,0
10/17/2021,5_510,-0.543947426,2
10/17/2021,5_546,-0.041664271,0
10/18/2021,13_267,-0.059937584,0
10/18/2021,13_271,-0.189532432,0
10/18/2021,13_274,-0.059374918,0
10/18/2021,13_410,-0.063018642,0
10/18/2021,14.9_601,0.348672233,0
10/18/2021,14_115,0.023885602,0
10/18/2021,15_268,-0.373573759,0
10/18/2021,5_510,-0.557056034,2
10/18/2021,5_546,-0.054561515,0
10/19/2021,13_267,-0.070391665,0
10/19/2021,13_271,-0.193539909,0
10/19/2021,13_274,-0.06563401,0
10/19/2021,13_410,-0.067771765,0
10/19/2021,14.9_601,0.343023748,0
10/19/2021,14_115,-0.004129309,0
10/19/2021,15_268,-0.409708574,0
10/19/2021,5_510,-0.573111263,2
10/19/2021,5_546,-0.065632564,0
10/20/2021,13_267,-0.081237283,0
10/20/2021,13_271,-0.200613266,0
10/20/2021,13_274,-0.070408783,0
10/20/2021,13_410,-0.074660178,0
10/20/2021,14.9_601,0.336320279,0
10/20/2021,14_115,-0.044950461,0
10/20/2021,15_268,-0.448785972,0
10/20/2021,5_510,-0.585433494,2
10/21/2021,13_267,-0.091791542,0
10/21/2021,13_271,-0.206846304,0
10/21/2021,13_274,-0.073682724,0
10/21/2021,13_410,-0.079539899,0
10/21/2021,14.9_601,0.329902297,0
10/21/2021,14_115,-0.090080357,0
10/21/2021,15_268,-0.486805816,0
10/21/2021,5_161,-0.066662758,0
10/21/2021,5_321,0.04253322,0
10/21/2021,5_510,-0.594925061,2
10/21/2021,5_546,-0.109897328,0
10/21/2021,5_573,0.132060197,0
10/22/2021,13_267,-0.10204013,0
10/22/2021,13_271,-0.211813726,0
10/22/2021,13_274,-0.081198257,0
10/22/2021,13_410,-0.083438759,0
10/22/2021,14.9_601,0.325122754,0
10/22/2021,14_115,-0.115682196,0
10/22/2021,15_268,-0.520753599,0
10/22/2021,5_161,-0.074449591,0
10/22/2021,5_321,0.039259994,0
10/22/2021,5_510,-0.604510201,2
10/22/2021,5_546,-0.120774242,0
10/22/2021,5_573,0.129038869,0
10/23/2021,13_267,-0.110015087,0
10/23/2021,13_271,-0.218728927,0
10/23/2021,13_274,-0.087361942,0
10/23/2021,13_410,-0.085912379,0
10/23/2021,14.9_601,0.321577635,0
10/23/2021,14_115,-0.138561254,0
10/23/2021,15_268,-0.556200012,2
10/23/2021,5_161,-0.080921514,0
10/23/2021,5_321,0.036178702,0
10/23/2021,5_510,-0.614795484,2
10/23/2021,5_546,-0.129920508,0
10/23/2021,5_573,0.12176846,0
10/24/2021,13_267,-0.120519073,0
10/24/2021,13_271,-0.226681867,0
10/24/2021,13_274,-0.093943951,0
10/24/2021,13_410,-0.091531507,0
10/24/2021,14.9_601,0.315201119,0
10/24/2021,14_115,-0.165381372,0
10/24/2021,15_268,-0.592217402,2
10/24/2021,5_161,-0.094364048,0
10/24/2021,5_321,0.027104359,0
10/24/2021,5_510,-0.626200703,2
10/24/2021,5_546,-0.146727254,0
10/24/2021,5_573,0.109464943,0
10/25/2021,13_267,-0.12980368,0
10/25/2021,13_271,-0.229073656,0
10/25/2021,13_274,-0.101062076,0
10/25/2021,13_410,-0.095267807,0
10/25/2021,14.9_601,0.311687926,0
10/25/2021,14_115,-0.162961694,0
10/25/2021,15_268,-0.562886969,2
10/25/2021,5_161,-0.103595814,0
10/25/2021,5_321,0.017778654,0
10/25/2021,5_510,-0.614569075,2
10/25/2021,5_546,-0.160250884,0
10/25/2021,5_573,0.102963297,0
10/26/2021,13_267,-0.138697483,0
10/26/2021,13_271,-0.242655632,0
10/26/2021,13_274,-0.107005589,0
10/26/2021,13_410,-0.098422489,0
10/26/2021,14.9_601,0.307775856,0
10/26/2021,14_115,-0.186530621,0
10/26/2021,15_268,-0.608017966,2
10/26/2021,5_161,-0.108652773,0
10/26/2021,5_321,0.013443856,0
10/26/2021,5_510,-0.626248774,2
10/26/2021,5_546,-0.173501135,0
10/26/2021,5_573,0.097507095,0
