OID_,OBJECTID,FID,Id_overlay,gridcode_overlay,Shape_Leng,Shape_Area_overlay,Basin,sqkm,SHAPE_Length,SHAPE_Area
1,2,5,24.000000000000000,9.000000000000000,43407.765956800001732,22547918.114199999719858,9,22.547918114200002,14611.741441570338793,2123294.873400287237018
2,5,1,12.000000000000000,7.000000000000000,22937.526127599998290,3834022.149100000038743,7,3.834022149100000,5169.828502281337023,597.119825559506126
3,5,5,24.000000000000000,9.000000000000000,43407.765956800001732,22547918.114199999719858,9,22.547918114200002,549.712204875673478,18.647448609179584
4,2,9,39.000000000000000,5.000000000000000,38417.168756400002167,15324785.606100000441074,5,15.324785606100001,2.806198183428298,0.302460135122215
5,2,6,32.000000000000000,15.000000000000000,15838.729836300000898,3425378.536429999861866,15,3.425378536430000,1090.084972383217064,89.666223256545379
6,5,9,39.000000000000000,5.000000000000000,38417.168756400002167,15324785.606100000441074,5,15.324785606100001,1385.652608223385187,144.449612367867019
7,4,1,12.000000000000000,7.000000000000000,22937.526127599998290,3834022.149100000038743,7,3.834022149100000,21925.283216486521269,3697063.609119618311524
8,3,3,16.000000000000000,66.000000000000000,15417.337116400000014,4375909.612429999746382,6a,4.375909612430000,0.917377454529534,0.014293830072511
9,3,2,14.000000000000000,6.000000000000000,33450.878361299997778,13842321.921199999749660,6,13.842321921200000,8324.405541603331585,281358.459724068001378
10,6,8,38.000000000000000,13.000000000000000,18101.212222400001338,4330684.347210000269115,13,4.330684347210000,0.645633779351635,0.021297600014021
11,2,9,39.000000000000000,5.000000000000000,38417.168756400002167,15324785.606100000441074,5,15.324785606100001,7187.484699610535245,654.133053424830678
12,5,1,12.000000000000000,7.000000000000000,22937.526127599998290,3834022.149100000038743,7,3.834022149100000,4.416728374700631,0.091368750574160
13,3,1,12.000000000000000,7.000000000000000,22937.526127599998290,3834022.149100000038743,7,3.834022149100000,1114.069958133989076,67.684108351848963
14,4,5,24.000000000000000,9.000000000000000,43407.765956800001732,22547918.114199999719858,9,22.547918114200002,1786.774422086207551,190.185404194049767
15,3,2,14.000000000000000,6.000000000000000,33450.878361299997778,13842321.921199999749660,6,13.842321921200000,28051.144359227291716,9003274.917474521324039
16,4,3,16.000000000000000,66.000000000000000,15417.337116400000014,4375909.612429999746382,6a,4.375909612430000,213.748785326418187,21.342929827394396
17,1,0,9.000000000000000,3.000000000000000,17575.639693699999043,4664374.411940000019968,3,4.664374411940000,12579.750452743322967,2833706.717470748815686
