ID,total.wetland.area,basin.area,basin.wetland.perc
13,952287.8390639125,4330684.34721,0.21989315376388824
14,753015.3588668249,5594663.40132,0.13459529284445584
15,461564.20025621133,3425378.53643,0.13474837754348257
3,1389770.5263991638,4664374.41194,0.2979543243444585
5,1694875.0591396356,15324785.6061,0.11059698339042302
5a,119542.32783819287,1042212.87158,0.11470049075191913
6,3045308.001904984,13842321.9212,0.21999979622211996
6a,1192347.3238698828,4375909.61243,0.27247987949361613
7,1137472.9851304565,3834022.1491,0.2966787725515533
9,5888834.007102105,22547918.1142,0.26116974424319445
