Date,FullSpC,LowSpC,ID
2025-04-02T09:26:00Z,112.4,111.4,5.2
2025-04-02T09:26:01Z,112.5,111,5.2
2025-04-02T09:26:02Z,112.5,111,5.2
2025-04-02T09:26:03Z,112.4,111,5.2
2025-04-02T09:26:04Z,112.5,111,5.2
2025-04-02T09:26:05Z,112.5,111,5.2
2025-04-02T09:26:06Z,112.6,111,5.2
2025-04-02T09:26:07Z,112.6,111,5.2
2025-04-02T09:26:08Z,112.5,111,5.2
2025-04-02T09:26:09Z,112.6,111,5.2
2025-04-02T09:26:10Z,112.6,111,5.2
2025-04-02T09:26:11Z,112.6,111,5.2
2025-04-02T09:26:12Z,112.4,111,5.2
2025-04-02T09:26:13Z,112.4,111,5.2
2025-04-02T09:26:14Z,112.4,111,5.2
2025-04-02T09:26:15Z,112.5,111,5.2
2025-04-02T09:26:16Z,112.4,111,5.2
2025-04-02T09:26:17Z,112.4,111,5.2
2025-04-02T09:26:18Z,112.5,111,5.2
2025-04-02T09:26:19Z,112.4,110.6,5.2
2025-04-02T09:26:20Z,112.4,111,5.2
2025-04-02T09:26:21Z,112.5,111,5.2
2025-04-02T09:26:22Z,112.5,111,5.2
2025-04-02T09:26:23Z,112.5,111,5.2
2025-04-02T09:26:24Z,112.5,111,5.2
2025-04-02T09:26:25Z,112.5,111,5.2
2025-04-02T09:26:26Z,112.5,111,5.2
2025-04-02T09:26:27Z,112.4,110.6,5.2
2025-04-02T09:26:28Z,112.5,111,5.2
2025-04-02T09:26:29Z,112.5,111,5.2
2025-04-02T09:26:30Z,112.5,111,5.2
2025-04-02T09:26:31Z,112.5,111,5.2
2025-04-02T09:26:32Z,112.5,111,5.2
2025-04-02T09:26:33Z,112.5,111.4,5.2
2025-04-02T09:26:34Z,112.5,111,5.2
2025-04-02T09:26:35Z,112.5,111,5.2
2025-04-02T09:26:36Z,112.5,111,5.2
2025-04-02T09:26:37Z,112.4,110.6,5.2
2025-04-02T09:26:38Z,112.5,110.6,5.2
2025-04-02T09:26:39Z,112.6,111,5.2
2025-04-02T09:26:40Z,112.6,111,5.2
2025-04-02T09:26:41Z,112.7,111.4,5.2
2025-04-02T09:26:42Z,112.6,111,5.2
2025-04-02T09:26:43Z,112.5,111,5.2
2025-04-02T09:26:44Z,112.5,111,5.2
2025-04-02T09:26:45Z,112.6,111,5.2
2025-04-02T09:26:46Z,112.5,111,5.2
2025-04-02T09:26:47Z,112.5,111,5.2
2025-04-02T09:26:48Z,112.5,110.6,5.2
2025-04-02T09:26:49Z,112.5,111,5.2
2025-04-02T09:26:50Z,112.5,111.4,5.2
2025-04-02T09:26:51Z,112.5,111,5.2
2025-04-02T09:26:52Z,112.6,111,5.2
2025-04-02T09:26:53Z,112.5,110.7,5.2
2025-04-02T09:26:54Z,112.4,111,5.2
2025-04-02T09:26:55Z,112.5,111,5.2
2025-04-02T09:26:56Z,112.5,111,5.2
2025-04-02T09:26:57Z,112.5,110.6,5.2
2025-04-02T09:26:58Z,112.5,111,5.2
2025-04-02T09:26:59Z,112.4,111,5.2
2025-04-02T09:27:00Z,112.5,111,5.2
2025-04-02T09:27:01Z,112.5,111,5.2
2025-04-02T09:27:02Z,112.5,110.6,5.2
2025-04-02T09:27:03Z,112.5,111,5.2
2025-04-02T09:27:04Z,112.4,110.7,5.2
2025-04-02T09:27:05Z,112.3,110.7,5.2
2025-04-02T09:27:06Z,112.4,111,5.2
2025-04-02T09:27:07Z,112.4,111,5.2
2025-04-02T09:27:08Z,112.3,110.7,5.2
2025-04-02T09:27:09Z,112.4,110.7,5.2
2025-04-02T09:27:10Z,112.4,110.7,5.2
2025-04-02T09:27:11Z,112.3,111,5.2
2025-04-02T09:27:12Z,112.3,110.7,5.2
2025-04-02T09:27:13Z,112.3,110.7,5.2
2025-04-02T09:27:14Z,112.4,111,5.2
2025-04-02T09:27:15Z,112.3,110.7,5.2
2025-04-02T09:27:16Z,112.3,110.7,5.2
2025-04-02T09:27:17Z,112.3,110.7,5.2
2025-04-02T09:27:18Z,112.3,110.7,5.2
2025-04-02T09:27:19Z,112.3,110.7,5.2
2025-04-02T09:27:20Z,112.3,110.7,5.2
2025-04-02T09:27:21Z,112.4,110.7,5.2
2025-04-02T09:27:22Z,112.5,110.7,5.2
2025-04-02T09:27:23Z,112.4,110.7,5.2
2025-04-02T09:27:24Z,112.4,110.7,5.2
2025-04-02T09:27:25Z,112.4,110.7,5.2
2025-04-02T09:27:26Z,112.4,110.7,5.2
2025-04-02T09:27:27Z,112.5,111,5.2
2025-04-02T09:27:28Z,112.4,110.7,5.2
2025-04-02T09:27:29Z,112.3,111,5.2
2025-04-02T09:27:30Z,112.3,110.7,5.2
2025-04-02T09:27:31Z,112.3,110.7,5.2
2025-04-02T09:27:32Z,112.4,110.7,5.2
2025-04-02T09:27:33Z,112.4,110.7,5.2
